Orders,Commandes
Add,Ajouter
CSV,CSV
"Excel XML","Excel XML"
"Credit Memos","Notes de crédit"
Invoices,Factures
Shipments,Expéditions
"Orders Archive","Archive des Commandes"
"Credit Memos Archive","Archives des notes de crédit"
"Invoices Archive","Archive Factures"
"Shipments Archive","Archive des Expéditions"
"Go to Archive (%1 orders)","Go to Archive (%1 orders)"
"Move to Archive","Déplacer dans l'Archive"
"Move to Order Managment","Déplacer dans Gestion de la Commande"
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"We can't find the table.","We can't find the table."
"Column not found","Colonne introuvable"
"Positioning column not found","Colonne de positionnement introuvable"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Print Shipping Labels","Print Shipping Labels"
"PDF Packing Slips","PDF Packing Slips"
"Mass Add","Ajout en masse"
"Sales Archive","Archive des Ventes"
"Move to Orders Management","Déplacer dans Gestion des Commandes"
