Orders,Bestellingen
Add,Toevoegen
CSV,CSV
"Excel XML","Excel XML"
"Credit Memos",Creditnota's
Invoices,Facturen
Shipments,Zendingen
"Orders Archive","Bestellings Archief"
"Credit Memos Archive","Kredietmemo's archief"
"Invoices Archive","Facturen Archief"
"Shipments Archive","Zendingen Archief"
"Go to Archive (%1 orders)","Go to Archive (%1 orders)"
"Move to Archive","Verplaats naar Archief"
"Move to Order Managment","Verplaats naar Order Beheer"
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"We can't find the table.","We can't find the table."
"Column not found","Kolom niet gevonden"
"Positioning column not found","Kolom positionering niet gevonden"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Print Shipping Labels","Print Shipping Labels"
"PDF Packing Slips","PDF Packing Slips"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Massaal toevoegen"
"Sales Archive","Verkoop Archief"
"Move to Orders Management","Verplaats naar Order Beheer"
