Orders,Ordens
Add,Adicionar
CSV,CSV
"Excel XML","Excel XML"
"Credit Memos","Notas de Crédito"
Invoices,Faturas
Shipments,Envios
"Orders Archive","Arquivo de Ordens"
"Credit Memos Archive","Arquivo de Notas de Crédito"
"Invoices Archive","Arquivo de Faturas"
"Shipments Archive","Arquivo de Envios"
"Go to Archive (%1 orders)","Go to Archive (%1 orders)"
"Move to Archive","Mover para Arquivo"
"Move to Order Managment","Mover para Gerenciamento de Ordem"
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"We can't find the table.","We can't find the table."
"Column not found","Coluna não encontrada"
"Positioning column not found","Coluna de posicionamento não encontrado"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Print Shipping Labels","Print Shipping Labels"
"PDF Packing Slips","PDF Packing Slips"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Adicionar em massa"
"Sales Archive","Arquivo de Vendas"
"Move to Orders Management","Mover para Gerenciamento de Ordens"
