Action,Action
Edit,Éditer
"User Name","Nom d'utilisateur"
Delete,Supprimer
Name,Nom
Status,Statut
Disabled,Désactivé
Enabled,Actif
Description,Description
Export,Exporter
label,label
Import,Importation
"Change status","Changer statut"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Successful,Réussi
Failed,Échec
Password,"Mot de passe"
Daily,"Chaque jour"
Weekly,"Chaque semaine"
Monthly,"Chaque mois"
"Store Credit","Store Credit"
Pending,"En attente"
"Export Settings","Exporter options"
"Entity Type","Type d'entité"
"Import Settings","Importer options"
"Import Behavior","Importer comportement"
"Entity Attributes","Attributs de l'entité"
"Reward Points","Reward Points"
"Add Scheduled Export","Ajouter l'exportation planifiée"
"Add Scheduled Import","Ajouter l'importation planifiée"
"Scheduled Import/Export","Importation/exportation planifiée"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Start Time","Date de début"
Frequency,Fréquence
"Server Type","Type de serveur"
"File Directory","Répertoire de fichiers"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Pour le type ""serveur local"", utilisez un chemin d'accès relatif vers l'installation de Magento, par ex. var/exportation, var/importation, var/exportation/some/dir"
"FTP Host[:Port]","Hôte FTP [:Port]"
"File Mode","Mode de fichier"
"Passive Mode","Mode passif"
"Failed Email Receiver","Échec du récepteur d'email"
"Failed Email Sender","Échec de l'expéditeur d'email"
"Failed Email Template","Modèle d'email raté"
"Send Failed Email Copy To","Envoyer copie d'email ratée à"
"Send Failed Email Copy Method","Envoyer méthode de copie d'email ratée"
"Export File Information","Détails du fichier d'exportation"
"Export Failed Emails","Emails échec d'exportation"
"File Format","Format de fichier"
"Import File Information","Détails sur le fichier d'importation"
"Import Failed Emails","Échec de l'importation d'emails"
"On Error",Erreur
"File Name","Nom du fichier"
"Clean Now","Nettoyer maintenant"
"Scheduled Imports/Exports","Importations/exportations planifiées"
"We couldn't save the scheduled operation.","We couldn't save the scheduled operation."
"Something sent wrong deleting the scheduled operation.","Something sent wrong deleting the scheduled operation."
"We deleted a total of %1 record(s).","We deleted a total of %1 record(s)."
"We cannot delete all items.","We cannot delete all items."
"We cannot change status for all items.","We cannot change status for all items."
"No valid data sent","Pas de donnée valide envoyée"
"The operation ran.","The operation ran."
"Unable to run operation","Impossible de lancer l'opération"
"We deleted the history files.","We deleted the history files."
"Something went wrong deleting the history files.","Something went wrong deleting the history files."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","Nouvelle importation planifiée"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","Nouvelle exportation planifiée"
"We saved the scheduled import.","We saved the scheduled import."
"We saved the scheduled report.","We saved the scheduled report."
"We deleted the scheduled import.","We deleted the scheduled import."
"We deleted the scheduled export.","We deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Êtes-vous sûr de vouloir supprimer cette importation planifiée ?"
"Are you sure you want to delete this scheduled export?","Êtes-vous sûr de vouloir supprimer cette exportation planifiée ?"
"Finance information website is not specified","Finance information website is not specified"
"Invalid value in Finance information website column","Invalid value in Finance information website column"
"Row with such email, website, finance website combination was already found.","Row with such email, website, finance website combination was already found."
"Data was imported by %1","Data was imported by %1"
"""We couldn't create directory "" '""%1""'","""We couldn't create directory "" '""%1""'"
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We couldn't delete ""%1"" because the directory is not writable.","We couldn't delete ""%1"" because the directory is not writable."
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","Le fichiers n'a pas été créé"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We couldn't read the file source because the file name is empty.","We couldn't read the file source because the file name is empty."
"Connecting to server","Connexion au serveur"
"Reading import file","Lecture du fichier d'importation"
"We couldn't read the import file.","We couldn't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Sauvegarder le contenu du fichier"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"Could't read file","Could't read file"
"We couldn't save the file history file.","We couldn't save the file history file."
"Unknown file format","Format de fichier inconnu"
"Local Server","Serveur local"
"Remote FTP","FTP distant"
Binary,Binaire
ASCII,ASCII
"Stop Import","Arrêter l'importation"
"Continue Processing","Poursuite du traitement"
Run,Lancer
"Are you sure you want to delete the selected scheduled imports/exports?","Êtes-vous sûr de vouloir supprimer les importations/exportations planifiées sélectionnées ?"
Operation,Opération
"Last Run","Date de la dernière exécution"
"Last Outcome","Dernier résultat"
