Action,Actie
Edit,Bewerken
"User Name",Gebruikersnaam
Delete,Verwijderen
Name,Naam
Status,Status
Disabled,Uitgeschakeld
Enabled,Aan
Description,Beschrijving
Export,Export
label,label
Import,Import
"Change status","Verander status"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Successful,Succesvol
Failed,Mislukt
Password,Wachtwoord
Daily,Dagelijks
Weekly,Wekelijks
Monthly,Maandelijks
Pending,"In afwachting"
"Export Settings","Export Instellingen"
"Entity Type","Eenheid Type"
"Import Settings","Import Instellingen"
"Import Behavior","Import Gedrag"
"Entity Attributes",Eenheidattributen
"Add Scheduled Export","Voeg geplande export toe"
"Add Scheduled Import","Voeg geplande import toe"
"Scheduled Import/Export","Geplande Import/Export"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Start Time",Begintijd
Frequency,Frequentie
"Server Type","Server Type"
"File Directory","Bestands Indexering"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Voor type ""Local Server"" gebruik relatief pad naar Magento installatie, bijv. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"File Mode",Bestandsmodus
"Passive Mode","Passieve Modus"
"Failed Email Receiver","Mislukte e-mail ontvanger"
"Failed Email Sender","Mislukt Email afzender"
"Failed Email Template","Mislukt E-mail sjabloon"
"Send Failed Email Copy To","Stuur Mislukte Email Copy Naar"
"Send Failed Email Copy Method","Stuur Mislukte Email Kopieer Methode"
"Export File Information","Export Bestands Informatie"
"Export Failed Emails","Export Mislukte Emails"
"File Format",Bestandsformaat
"Import File Information","Importeer Bestandsgegevens"
"Import Failed Emails","Geschiedenis-bestanden zijn verwijderd"
"On Error","Bij fout"
"File Name",Bestandsnaam
"Clean Now","Maak nu schoon"
"Scheduled Imports/Exports","Geplande Import/Export"
"We couldn't save the scheduled operation.","We couldn't save the scheduled operation."
"Something sent wrong deleting the scheduled operation.","Something sent wrong deleting the scheduled operation."
"We deleted a total of %1 record(s).","We deleted a total of %1 record(s)."
"We cannot delete all items.","We cannot delete all items."
"We cannot change status for all items.","We cannot change status for all items."
"No valid data sent","Geen geldige gegevens verzonden"
"The operation ran.","The operation ran."
"Unable to run operation","De bewerking kan niet worden uitgevoerd"
"We deleted the history files.","We deleted the history files."
"Something went wrong deleting the history files.","Something went wrong deleting the history files."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","Nieuwe Geplande Import"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","Nieuwe Geplande Export"
"We saved the scheduled import.","We saved the scheduled import."
"We saved the scheduled report.","We saved the scheduled report."
"We deleted the scheduled import.","We deleted the scheduled import."
"We deleted the scheduled export.","We deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Weet u zeker dat u de geplande import wilt verwijderen?"
"Are you sure you want to delete this scheduled export?","Weet u zeker datu de geplande export wilt verwijderen?"
"""We couldn't create directory "" '""%1""'","""We couldn't create directory "" '""%1""'"
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We couldn't delete ""%1"" because the directory is not writable.","We couldn't delete ""%1"" because the directory is not writable."
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","Bestand is niet gemaakt"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We couldn't read the file source because the file name is empty.","We couldn't read the file source because the file name is empty."
"Connecting to server","Verbinding maken met server"
"Reading import file","Het lezen van importbestand"
"We couldn't read the import file.","We couldn't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Bestandsgegevens Opslaan"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"Could't read file","Could't read file"
"We couldn't save the file history file.","We couldn't save the file history file."
"Unknown file format","Onbekend bestandsformaat"
"Local Server","Lokale Server"
"Remote FTP","Afgelegen FTP"
Binary,Binair
ASCII,ASCII
"Stop Import","Stop Import"
"Continue Processing","Doorgaan met het verwerken"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
Run,Run
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Are you sure you want to delete the selected scheduled imports/exports?","Weet u zeker dat u de geselecteerde geplande invoer/uitvoer wilt verwijderen?"
Operation,Operatie
"Last Run","Laatste Run Datum"
"Last Outcome","Laatste Resultaat"
