Action,Ação
Edit,Editar
"User Name","Nome do Usuário"
Delete,Excluir
Name,Nome
Status,Status
Disabled,Desativado
Enabled,Ativado
Description,Descrição
Export,Exportar
label,label
Import,Importar
"Change status","Alterar status"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Successful,"Bem sucedido"
Failed,Falha
Password,Senha
Daily,Diário
Weekly,Semanalmente
Monthly,Mensal
"Store Credit","Store Credit"
Pending,Pendente
"Export Settings","Exportar configurações"
"Entity Type","Tipo de entidade"
"Import Settings","Importar configurações"
"Import Behavior","Comportamento da importação"
"Entity Attributes","Atributos da entidade"
"Reward Points","Reward Points"
"Add Scheduled Export","Adicionar exportação agendada"
"Add Scheduled Import","Adicionar importação agendada"
"Scheduled Import/Export","Importação/exportação agendada"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Start Time","Tempo de Início"
Frequency,Freqüência
"Server Type","Tipo de servidor"
"File Directory","Diretório de arquivos"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para o tipo ""Servidor local"", use o caminho relativo para a instalação do Magent, por exemplo, var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Anfitrião[:Porta] (FTP Host[:Port])"
"File Mode","Modo de arquivo"
"Passive Mode","Modo passivo"
"Failed Email Receiver","Destinatário do e-mail com falha"
"Failed Email Sender","Remetente do e-mail com falha"
"Failed Email Template","Modelo de e-mail com falha"
"Send Failed Email Copy To","Enviar cópia de e-mail com falha para"
"Send Failed Email Copy Method","Enviar método de cópia de e-mail com falha"
"Export File Information","Exportar informações do arquivo"
"Export Failed Emails","Exportar e-mails com falha"
"File Format","Formato do arquivo"
"Import File Information","Importar informações do arquivo"
"Import Failed Emails","Importar e-mails com falha"
"On Error","Em erro"
"File Name","Nome do arquivo"
"Clean Now","Limpar agora"
"Scheduled Imports/Exports","Importações/exportações agendadas"
"We couldn't save the scheduled operation.","We couldn't save the scheduled operation."
"Something sent wrong deleting the scheduled operation.","Something sent wrong deleting the scheduled operation."
"We deleted a total of %1 record(s).","We deleted a total of %1 record(s)."
"We cannot delete all items.","We cannot delete all items."
"We cannot change status for all items.","We cannot change status for all items."
"No valid data sent","Não há dados válidos de envio"
"The operation ran.","The operation ran."
"Unable to run operation","Não foi possível executar a operação"
"We deleted the history files.","We deleted the history files."
"Something went wrong deleting the history files.","Something went wrong deleting the history files."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","Nova importação agendada"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","Nova exportação agendada"
"We saved the scheduled import.","We saved the scheduled import."
"We saved the scheduled report.","We saved the scheduled report."
"We deleted the scheduled import.","We deleted the scheduled import."
"We deleted the scheduled export.","We deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Tem certeza que deseja excluir essa importação agendada?"
"Are you sure you want to delete this scheduled export?","Tem certeza que deseja excluir essa exportação agendada?"
"Finance information website is not specified","Finance information website is not specified"
"Invalid value in Finance information website column","Invalid value in Finance information website column"
"Row with such email, website, finance website combination was already found.","Row with such email, website, finance website combination was already found."
"Data was imported by %1","Data was imported by %1"
"""We couldn't create directory "" '""%1""'","""We couldn't create directory "" '""%1""'"
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We couldn't delete ""%1"" because the directory is not writable.","We couldn't delete ""%1"" because the directory is not writable."
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","O arquivo não foi criado"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We couldn't read the file source because the file name is empty.","We couldn't read the file source because the file name is empty."
"Connecting to server","Conectando ao servidor"
"Reading import file","Lendo arquivo de importação"
"We couldn't read the import file.","We couldn't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Salvar conteúdo do arquivo"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"Could't read file","Could't read file"
"We couldn't save the file history file.","We couldn't save the file history file."
"Unknown file format","Formato de arquivo desconhecido"
"Local Server","Servidor Local"
"Remote FTP","FTP Remoto"
Binary,Binário
ASCII,ASCII
"Stop Import","Parar importação"
"Continue Processing","Continuar processando"
Run,Executar
"Are you sure you want to delete the selected scheduled imports/exports?","Tem certeza que deseja excluir as importações/exportações agendadas selecionadas?"
Operation,Operação
"Last Run","Última data de execução"
"Last Outcome","Último resultado"
