ID,ID
No,No
Action,Action
Edit,Edit
Results,Results
Uses,Uses
Store,Store
Yes,Yes
"Add New Search Term","Add New Search Term"
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"This search no longer exists.","This search no longer exists."
button_label,button_label
"Related Search Terms","Related Search Terms"
"We were unable to perform the search because a search engine misconfiguration.","We were unable to perform the search because a search engine misconfiguration."
"MySql Fulltext","MySql Fulltext"
Solr,Solr
"Final commit","Final commit"
"Partial commit","Partial commit"
"Engine autocommit","Engine autocommit"
"Search Weight","Search Weight"
"Connection failed! Test again?","Connection failed! Test again?"
"Successful! Test again?","Successful! Test again?"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
Synonym,Synonym
"Suggested Term","Suggested Term"
