ID,ID
No,否
Action,操作
Edit,编辑
Results,结果
Uses,用户数
Store,商店
Yes,是
"Add New Search Term",添加新的搜索条件
"Search Query",搜索查询
"Redirect URL",重定向
"This search no longer exists.","This search no longer exists."
button_label,button_label
"Related Search Terms",结果
"We were unable to perform the search because a search engine misconfiguration.","We were unable to perform the search because a search engine misconfiguration."
"MySql Fulltext","MySql 全文"
Solr,Solr
"Final commit",最终合并
"Partial commit",部分合并
"Engine autocommit",引擎自动合并
"Search Weight","Search Weight"
"Connection failed! Test again?","Connection failed! Test again?"
"Successful! Test again?","Successful! Test again?"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
Synonym,同义词
"Search Engine","Search Engine"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Port","Solr Server Port"
"Solr Server Username","Solr Server Username"
"Solr Server Password","Solr Server Password"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Path","Solr Server Path"
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Indexation Mode","Indexation Mode"
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed."
"Test Connection","Test Connection"
"Enable Search Suggestions","Enable Search Suggestions"
"When you enable this option your site may slow down.","When you enable this option your site may slow down."
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"Enable Search Recommendations","Enable Search Recommendations"
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Solr Engine for Catalog Navigation","Enable Solr Engine for Catalog Navigation"
"Suggested Term",显示建议的搜索条件
