All,All
None,None
ID,Identificación
Action,Acción
"Store View","Ver Tienda"
Catalog,Catalog
Always,siempre
Path,Camino
Daily,Diario
Weekly,Semanalmente
Monthly,Mensualmente
Never,Nunca
Generate,Generar
Hourly,"Cada hora"
"Save & Generate","Save & Generate"
"Edit Sitemap","Editar mapa del sitio web"
"New Sitemap","Nuevo mapa del sitio web"
"Sitemap Information","Sitemap Information"
Sitemap,"Mapa de sitio"
Filename,"Nombre del archivo"
"example: sitemap.xml","example: sitemap.xml"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","example: ""sitemap/"" or ""/"" for base path (path must be writeable)"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Añadir mapa del sito web"
"Site Map","Site Map"
"This sitemap no longer exists.","Este mapa del sitio web ya no existe"
"New Site Map","New Site Map"
"The sitemap has been saved.","El mapa del sitio web se ha guardado"
"The sitemap has been deleted.","El mapa del sitio web ha sido borrado"
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"Something went wrong generating the sitemap.","Something went wrong generating the sitemap."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1"
Yearly,Anualmente
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"Base Only","Base Only"
"Link for Google","Enlace para Google"
"Last Generated","Última vez que se generó"
