All,All
None,None
ID,ID
Action,Action
"Store View","Vue du magasin"
Catalog,Catalog
Always,Toujours
Path,Chemin
Daily,"Tous les jours"
Weekly,"Toutes les semaines"
Monthly,"Tous les mois"
Never,Jamais
Generate,Générer
Hourly,"Toutes les heures"
"Save & Generate","Save & Generate"
"Edit Sitemap","Éditer la sitemap"
"New Sitemap","Nouvelle sitemap"
"Sitemap Information","Sitemap Information"
Sitemap,Sitemap
Filename,"Nom de fichier"
"example: sitemap.xml","example: sitemap.xml"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","example: ""sitemap/"" or ""/"" for base path (path must be writeable)"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Ajouter une sitemap"
"Site Map","Site Map"
"This sitemap no longer exists.","La sitemap n'existe plus."
"New Site Map","New Site Map"
"The sitemap has been saved.","La sitemap a été sauvegardée."
"The sitemap has been deleted.","La sitemap a été supprimée."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"Something went wrong generating the sitemap.","Something went wrong generating the sitemap."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"The priority must be between 0 and 1.","La priorité est comprise entre 0 et 1"
Yearly,"Tous les ans"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"Base Only","Base Only"
"Link for Google","Lien pour Google"
"Last Generated","Généré pour la dernière fois"
