ID,ID
No,Nr.
Action,Aktion
Edit,Bearbeiten
Results,Ergebnisse
Uses,"Anzahl der Einsätze"
Store,Speichern
Yes,Ja
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Search Query",Suchanfrage
"Redirect URL",Weiterleiten
"This search no longer exists.","This search no longer exists."
button_label,button_label
"Related Search Terms","Verwandte Suchbegriffe"
"We were unable to perform the search because a search engine misconfiguration.","We were unable to perform the search because a search engine misconfiguration."
"MySql Fulltext","MySql Volltext"
Solr,Solr
"Final commit","Finaler Commit"
"Partial commit","Eingeschränkter Commit"
"Engine autocommit",Engine-Autocommit
"Search Weight","Search Weight"
"Connection failed! Test again?","Connection failed! Test again?"
"Successful! Test again?","Successful! Test again?"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
Synonym,"Synonym für"
"Search Engine","Search Engine"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Port","Solr Server Port"
"Solr Server Username","Solr Server Username"
"Solr Server Password","Solr Server Password"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Path","Solr Server Path"
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Indexation Mode","Indexation Mode"
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed."
"Test Connection","Test Connection"
"Enable Search Suggestions","Enable Search Suggestions"
"When you enable this option your site may slow down.","When you enable this option your site may slow down."
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"Enable Search Recommendations","Enable Search Recommendations"
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Solr Engine for Catalog Navigation","Enable Solr Engine for Catalog Navigation"
"Suggested Term","In vorgeschlagenen Begriffen anzeigen"
