Close,Schliessen
ID,Benutzererkennung
[GLOBAL],[GLOBAL]
"-- Please Select --","-- Please Select --"
Status,Status
"Save and Continue Edit","Speichern und Ändern fortführen"
Type,Type
Rule,Regelbezeichnung
"Start on",Startdatum
"End on",Ablaufdatum
Active,Aktiv
"Applies To","Anwendbar auf"
"This rule no longer exists.","This rule no longer exists."
"Use Config Settings","Config-Einstellungen benutzen"
"Product Attributes",Produkteigenschaften
"Related Products","Zugehörige Produkte"
Up-sells,"Up Sells"
Cross-sells,"Cross Sells"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Neue Regel"
"Rule Information",Regelinformation
"Rule Name","Rule Name"
Inactive,"Nicht aktiv"
"From Date","Von Datum"
"To Date","Bis Datum"
Priority,Priorität
"Conditions Combination","Kombination Bedingungen"
"We can't find a page to delete.","We can't find a page to delete."
"Apply To","Anwenden auf"
"equals or greater than","gleich oder grösser als"
"equals or less than","gleich oder kleiner als"
"Please choose a condition to add.","Please choose a condition to add."
"Related Products Rule","Related Products Rule"
"Add Rule","Regel hinzufügen"
"Product Result Conditions (leave blank for matching all products)","Bedingungen für Produktergebnis (freilassen um alle Produkte zuzuordnen)"
"Products to Display","Produkte zur Ansicht"
"Product Match Conditions (leave blank for matching all products)","Bedingungen für Produktzuordnung (freilassen um alle Produkte zuzuordnen)"
"Products to Match","Produkte zur Zuordnung"
"General Rule Information","Allgemeine Regelinformation"
"Result Limit",Ergebnis-Grenzwert
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximale Anzahl von Produkten die dieser Regel zugeordnet werden können.  Höchstgrenze bei 20."
"Product Rule Information",Produktregel-Information
"Undefined Catalog Product List Type","Nicht definierter Katalog-Produktlistentyp"
"Related Products Rules","Related Products Rules"
"New Related Products Rule","New Related Products Rule"
"Please specify a correct rule.","Please specify a correct rule."
"You saved the rule.","You saved the rule."
"Invalid date.","Datum ungültig."
"An error occurred while saving Product Rule.","Ein Fehler ist beim Speichern der Produktregel aufgetreten."
"You deleted the rule.","You deleted the rule."
"Invalid product list type","Unzulässiger Produktlistentyp"
"Invalid rotation mode type","Rotationsmodustyp ungültig."
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Konstanter Wert"
"the Same as Matched Product Categories","das Gleiche wie Zugeordnete Produkte-Kategorien"
"the Child of the Matched Product Categories","das Kind der Zugeordnete Produkte-Kategorien"
"Matched Product %1","Matched Product %1"
"Target Product ",Zielprodukt
"Price (percentage)","Preis (Prozentsatz)"
"Product Special","Produkt Spezial"
"equal to",gleich
more,mehr
less,weniger
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"Target Rules",Zielregeln
"The product list type identifier is not defined.","The product list type identifier is not defined."
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Both Selected and Rule-Based","Sowohl ausgewählt als auch regelbasiert"
"Selected Only","Nur Ausgewählte"
"Rule-Based Only","Nur regelbasiert"
"Do not rotate","Nicht rotieren"
Shuffle,Shuffle
"Rule-based Settings","Regelbasierte Einstellungen"
"Rule-based Positions","Regelbasierte Positionen"
"Position Behavior",Positionsverhalten
"Rule-Based Product Relations","Regelbasierte Produktbeziehungen"
