Close,Cerrar
ID,ID
[GLOBAL],[GLOBAL]
"-- Please Select --","-- Please Select --"
Status,Estado
"Save and Continue Edit","Guardar y continuar editando"
Type,Type
Rule,"Nombre de la Regla"
"Start on","Fecha de inicio"
"End on","Fecha de vencimiento"
Active,Activo
"Applies To","Se aplica a"
"This rule no longer exists.","This rule no longer exists."
"Use Config Settings","Usar Opciones de Configuración"
"Product Attributes","Atributos del producto"
"Related Products","Productos Relacionados"
Up-sells,"Ventas Sugestivas"
Cross-sells,"Ventas cruzadas."
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nueva Regla"
"Rule Information","Información sobre la Regla"
"Rule Name","Rule Name"
Inactive,Inactivo
"From Date","A partir de la fecha"
"To Date","Hasta la fecha"
Priority,Prioridad
"Conditions Combination","Combinación de condiciones"
"We can't find a page to delete.","We can't find a page to delete."
"Apply To","Aplicar a."
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"Please choose a condition to add.","Please choose a condition to add."
"Related Products Rule","Related Products Rule"
"Add Rule","Regla de añadir."
"Product Result Conditions (leave blank for matching all products)","Condiciones de Resultado de Producto (dejar en blanco para hacer coincidir con todos los productos)"
"Products to Display","Productos a Mostrar"
"Product Match Conditions (leave blank for matching all products)","Condiciones de Correspondencia de Producto (dejar en blanco para hacer coincidir con todos los productos)"
"Products to Match","Productos a Comparar"
"General Rule Information","Información de reglas generales."
"Result Limit","Límite de Resultado"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Número máximo de productos  que pueden ser combinados por esta regla. Hastas un máximo de 20."
"Product Rule Information","Información de Regla de Producto"
"Undefined Catalog Product List Type","Tipo de Lista de Producto de Catálogo no Definido"
"Related Products Rules","Related Products Rules"
"New Related Products Rule","New Related Products Rule"
"Please specify a correct rule.","Please specify a correct rule."
"You saved the rule.","You saved the rule."
"Invalid date.","Fecha no válida."
"An error occurred while saving Product Rule.","Ha ocurrido un error mientras se guardaba la regla del producto."
"You deleted the rule.","You deleted the rule."
"Invalid product list type","Tipo de lista de producto invalida."
"Invalid rotation mode type","Tipo de modo de rotación no válido"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Valor constante."
"the Same as Matched Product Categories","el Mismo que las Categorías de Productos Coincidentes"
"the Child of the Matched Product Categories","el Hijo de las Categorías de Productos Coincidentes"
"Matched Product %1","Matched Product %1"
"Target Product ","Producto Objetivo"
"Price (percentage)","Precio (porcentage)."
"Product Special","Producto Especial"
"equal to","igual a"
more,más
less,menor
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"Target Rules","Reglas de objetivo"
"The product list type identifier is not defined.","The product list type identifier is not defined."
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Both Selected and Rule-Based","Ambos seleccionados y basados en la regla."
"Selected Only","Solo lo seleccionado"
"Rule-Based Only","Solo Basado en Reglas"
"Do not rotate","No rotar"
Shuffle,"Orden aleatorio"
"Rule-based Settings","Configuración Basada en Reglas"
"Rule-based Positions","Posiciones Basadas en Reglas"
"Position Behavior","Comprotamiento de posición."
"Rule-Based Product Relations","Relaciones de Producto Basado en Reglas"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
