Close,Fechar
ID,Identidade
[GLOBAL],[GLOBAL]
"-- Please Select --","-- Please Select --"
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
Type,Type
Rule,"Nome da Regra"
"Start on","Data Inicial"
"End on",Vencimento
Active,Ativo
"Applies To","Aplica-se a"
"This rule no longer exists.","This rule no longer exists."
"Use Config Settings","Utilizar opções de configuração"
"Product Attributes","Atributos do produto"
"Related Products","Produtos Relacionados"
Up-sells,"Vendas Extras"
Cross-sells,"Vendas Cruzadas"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nova Regra"
"Rule Information","Informação da Regra"
"Rule Name","Rule Name"
Inactive,Inativo
"From Date","A Partir da Data"
"To Date","Até a Data Atual"
Priority,Prioridade
"Conditions Combination","Combinação de condições"
"We can't find a page to delete.","We can't find a page to delete."
"Apply To","Aplicar a"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"Please choose a condition to add.","Please choose a condition to add."
"Related Products Rule","Related Products Rule"
"Add Rule","Adicionar Regra"
"Product Result Conditions (leave blank for matching all products)","Condições de Resultado de Produto (deixe em branco para corresponder todos os produtos)"
"Products to Display","Produtos a Exibir"
"Product Match Conditions (leave blank for matching all products)","Condições de Correspondência de Produto (deixe em branco para corresponder todos os produtos)"
"Products to Match","Produtos a Corresponder"
"General Rule Information","Informações Gerais sobre Regras"
"Result Limit","Limite de Resultados"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Número máximo de produtos que podem ser correspondidos por esta Regra. Limitado a 20."
"Product Rule Information","Informação de Regra do Produto"
"Undefined Catalog Product List Type","Tipo de Lista de Produtos Indefinida em Catálogo"
"Related Products Rules","Related Products Rules"
"New Related Products Rule","New Related Products Rule"
"Please specify a correct rule.","Please specify a correct rule."
"You saved the rule.","You saved the rule."
"Invalid date.","Data inválida."
"An error occurred while saving Product Rule.","Ocorreu um erro ao salvar a Regra do Produto."
"You deleted the rule.","You deleted the rule."
"Invalid product list type","Tipo de lista de produtos inválido"
"Invalid rotation mode type","Tipo de modo de rotação inválido"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Valor Constante"
"the Same as Matched Product Categories","o Mesmo que Categorias de Produto Combinado"
"the Child of the Matched Product Categories","a Criança das Categorias de Produto Combinado"
"Matched Product %1","Matched Product %1"
"Target Product ",Produto-Alvo
"Price (percentage)","Preço (em porcentagem)"
"Product Special","Produto Especial"
"equal to","igual a"
more,mais
less,menos
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"Target Rules","Regras Alvo"
"The product list type identifier is not defined.","The product list type identifier is not defined."
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Both Selected and Rule-Based","Selecionado(s) e Compatível(is) com Regra"
"Selected Only","Somente Selecionados"
"Rule-Based Only","Somente Compatível(is) com Regra"
"Do not rotate","Não girar"
Shuffle,Aleatório
"Rule-based Settings","Configurações Compatíveis com Regras"
"Rule-based Positions","Posições Compatíveis com Regras"
"Position Behavior","Comportamento de Posição"
"Rule-Based Product Relations","Relações de Produtos Compatíveis com Regra"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
