None,None
Cancel,Cancel
Back,Back
Subtotal,Subtotal
"Excl. Tax","Excl. Tax"
Total,Total
"Incl. Tax","Incl. Tax"
Reset,Reset
"Unit Price","Unit Price"
Tax,Tax
Save,Save
Name,Name
Code,Code
"Sort Order","Sort Order"
"Save and Continue Edit","Save and Continue Edit"
"Are you sure you want to do this?","Are you sure you want to do this?"
"This rule no longer exists.","This rule no longer exists."
"New Rule","New Rule"
Priority,Priority
"Edit Rule","Edit Rule"
Country,Country
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
Sales,Sales
CSV,CSV
"Excel XML","Excel XML"
Rate,Rate
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Row Total","Row Total"
"Tax Rate Information","Tax Rate Information"
"Tax Identifier","Tax Identifier"
"Zip/Post is Range","Zip/Post is Range"
"Zip/Post Code","Zip/Post Code"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Range From"
"Range To","Range To"
State,State
"Rate Percent","Rate Percent"
"Tax Titles","Tax Titles"
"Add New Tax Rate","Add New Tax Rate"
"Delete Rate","Delete Rate"
"Save Rate","Save Rate"
"Manage Tax Rules","Manage Tax Rules"
"Add New Tax Rule","Add New Tax Rule"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Tax Rule Information","Tax Rule Information"
"Customer Tax Class","Customer Tax Class"
"Product Tax Class","Product Tax Class"
"Tax Rate","Tax Rate"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Add New Tax Class"
