None,Nada
Cancel,Cancel
Back,Volver
Subtotal,Subtotal
"Excl. Tax","Impuestos no incluidos"
Total,Total
"Incl. Tax","Impuestos incluidos"
Reset,Restablecer
"Unit Price","Precio por unidad"
Tax,Impuestos
Save,Save
Name,Nombre
Code,Código
"Sort Order","Ordenar Pedido"
"Save and Continue Edit","Guardar y continuar editando"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"This rule no longer exists.","Esta regla ya no existe."
"New Rule","Nueva Regla"
Priority,Prioridad
"Edit Rule","Editar Regla"
Country,País
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
Sales,Ventas
CSV,CSV
"Excel XML","Excel XML"
Rate,Tarifa
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"Grand Total Excl. Tax","Total sin Incluir Impuestos"
"Grand Total Incl. Tax","Total Incluyendo Impuestos"
"Subtotal (Excl. Tax)","Subtotal (Excl. Impuestos)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Impuestos)"
"Row Total","Fila Total"
"Tax Rate Information","Información sobre Tarifas de Impuestos"
"Tax Identifier","Identificador Tributario"
"Zip/Post is Range","Código Postal es Rango"
"Zip/Post Code","CP/Código Postal"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Intervalo Desde"
"Range To","Intervalo Hasta"
State,Estado
"Rate Percent","Tasa de Porcentaje"
"Tax Titles","Títulos Tributarias"
"Add New Tax Rate","Añadir Nueva Tasa Impositiva"
"Delete Rate","Eliminar índice"
"Save Rate","Guardar Tarifa"
"Manage Tax Rules","Gestión de las normas fiscales"
"Add New Tax Rule","Añadir Nueva Norma Impositiva"
"Save Rule","Guardar Regla"
"Delete Rule","Eliminar Regla"
"Tax Rule Information","Información sobre Reglas Tributarias"
"Customer Tax Class","Clase impositiva del cliente"
"Product Tax Class","Clase de impuesto del producto"
"Tax Rate","Tarifa de Impuestos"
"Tax rates at the same priority are added, others are compounded.","Las tarifas tributarias con la misma prioridad son añadidas, las demás son compuestas."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Add New Tax Class"
"Subtotal (Excl.Tax)","Subtotal (Excl. Impuestos)"
"Subtotal (Incl.Tax)","Subtotal (Incl. Impuestos)"
"Shipping & Handling (Excl.Tax)","Envío y Servicio (Impuestos no Incluídos)"
"Shipping & Handling (Incl.Tax)","Envío y Servicio (Impuestos Incluídos)"
"Grand Total (Excl.Tax)","Total (Impuestos no Incluídos)"
"Grand Total (Incl.Tax)","Total (Impuestos Incluídos)"
"Tax Zones and Rates","Tax Zones and Rates"
"Manage Tax Rates","Gestión de las Tasas de Impuestos"
"New Tax Rate","Nueva Tarifa de Impuesto"
"The tax rate has been saved.","Esta tarifa tributaria se ha guardado."
"Something went wrong saving this rate.","Something went wrong saving this rate."
"Edit Tax Rate","Editar indicador de impuesto"
"The tax rate has been deleted.","Esta tarifa tributaria ha sido eliminada."
"Something went wrong deleting this rate.","Something went wrong deleting this rate."
"Something went wrong deleting this rate because of an incorrect rate ID.","Something went wrong deleting this rate because of an incorrect rate ID."
"An error occurred while deleting this tax rate.","An error occurred while deleting this tax rate."
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","Esta tarifa tributaria ha sido importada."
"Invalid file upload attempt","Intento de subida de un archivo no válido"
"Tax Rules","Reglas de Impuestos"
"New Tax Rule","New Tax Rule"
"The tax rule has been saved.","Esta regla tributaria ha sido guardada."
"Something went wrong saving this tax rule.","Something went wrong saving this tax rule."
"This rule no longer exists","Esta regla ya no existe"
"The tax rule has been deleted.","Esta regla tributaria ha sido eliminada."
"Something went wrong deleting this tax rule.","Something went wrong deleting this tax rule."
"Something went wrong saving this tax class.","Something went wrong saving this tax class."
"Something went wrong deleting this tax class.","Something went wrong deleting this tax class."
"Invalid type of tax class specified.","Invalid type of tax class specified."
"Invalid name of tax class specified.","Invalid name of tax class specified."
"Shipping & Handling Tax","Impuestos de envío y manipulación"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Zip code should not contain characters other than digits.","Zip code should not contain characters other than digits."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"This class no longer exists.","This class no longer exists."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first."
"You cannot delete this tax class because it is used in existing %1(s).","You cannot delete this tax class because it is used in existing %1(s)."
"Custom price if available","Impoorte de aranceles si es aplicable"
"Original price only","Sólo precio original"
"Shipping Origin","Shipping Origin"
"No (price without tax)","No (price without tax)"
"Yes (only price with tax)","Yes (only price with tax)"
"Both (without and with tax)","Both (without and with tax)"
"Something went wrong saving this tax class because a class with the same name already exists.","Something went wrong saving this tax class because a class with the same name already exists."
"Grand Total (Excl. Tax)","Total (Impuestos no Incluídos)"
"Grand Total (Incl. Tax)","Total (Impuestos Incluídos)"
"Shipping (Excl. Tax)","Envío (Impuestos no Incluídos)"
"Shipping (Incl. Tax)","Envío (Impuestos Incluídos)"
"Before Discount","Antes de Descuento"
"After Discount","Después de Descuento"
"Excluding Tax","Impuestos no Incluídos"
"Including Tax","Impuestos Incluídos"
"Including and Excluding Tax","Inclusión y Exclusión de Impuestos"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">ignore this notification</a>"
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Warning tax configuration can result in unexpected FPT prices on applicable devices. ","Warning tax configuration can result in unexpected FPT prices on applicable devices. "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">documentation</a> for more details. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings."
"customer group","customer group"
product,product
"Import Tax Rates","Tasas de Impuestos de Importación"
"Export Tax Rates","Tasas de Impuestos a la Exportación"
Note:,Note:
"Leave this field empty if you wish to use the tax identifier.","Leave this field empty if you wish to use the tax identifier."
"Do you really want to delete this tax rate?","Do you really want to delete this tax rate?"
"Add New Class","Anadir Nueva Categoría"
State/Region,Estado/Región
"Subtotal Only","Subtotal Only"
