"Are you sure?","¿Está seguro?"
Cancel,Cancelar
Quantity,"Revisiones de Cantidad"
No,No
"All Store Views","Vistas a todas las tiendas"
Delete,Eliminar
Save,Guardar
Yes,Sí
Title,Título
"URL Key","Clave URL"
"Please wait...","Please wait..."
Previous,Anterior
Next,Siguiente
Page,Page
Loading...,Loading...
N/A,N/A
Default,Predeterminada
Ordered,Pedido
Root,Raíz
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page","Nueva Página"
Created,"Creado en"
Preview,"Vista Previa"
CMS,CMS
Pages,Páginas
"Edit Page","Edit Page"
"Enabled by Default","Habilitado por defecto"
"Disabled by Default","Deshabilitado por defecto"
Copy,Copiar
Update,Actualización
Template,Plantilla
Public,Público
Private,Privado
Owner,Propietario
"Choose Store View:","Selecciona Vista de la Tienda:"
Created:,Creado:
First,Primero
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy","Eliminar la jerarquía actual"
"Pages Hierarchy","Jerarquía de Páginas"
"Page Properties","Propiedades de Página"
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,Siguiente/Anterior
"Enable Chapter/Section","Habilitar Capítulo/Sección"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Habilita las funciones del capítulo/sección para este nódulo, sus sub-nódulos y páginas"
Chapter/Section,Capítulo/Sección
"Defines this node as Chapter/Section","Definir este nódulo como Capítulo/Sección"
"Pagination Options for Nested Pages","Opciones de Paginación para Páginas Anidadas"
"Enable Pagination","Habilitar paginación"
Frame,Marco
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Salto de Marco"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la Posición Actual del Marco no cubre las Páginas al Máximo, se le generará un Enlace a la Posición Actual más/menos este Valor."
"Page Navigation Menu Options","Opciones del menú por páginas de navegación"
"Exclude from Navigation Menu","Excluir del menú de navegación"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Diseño de Menú"
"Only Children","Hijos Únicos"
"Neighbours and Children","Vecinos e Hijos"
"Menu Detalization","Detalización del Menú"
"Maximal Depth","Profundidad Máxima"
"Node Levels to Include","Niveles de Nodo a Incluir"
"List Type","Tipo de Lista"
"List Style","Estilo de Lista"
"Main Navigation Menu Options","Opciones del menú principal de navegación"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...","Añadir nodo"
"Add to tree.","Add to tree."
"Node Properties","Propiedades de Nodo"
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID","ID de la Página"
"Manage Hierarchies","Administrar las jerarquías"
"No nodes are available.","No nodes are available."
"Version Control","Control de la versión"
Hierarchy,Jerarquía
"Version Label","Version Label"
"Access Level","Access Level"
Versions,Versiones
"Are you sure you want to delete this revision?","¿Está seguro de que quiere eliminar esta revisión?"
Publish,Publique
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revise Información"
"Save as new version.","Save as new version."
"New Revision...","Nueva Revisión..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Información de la versión"
Revision,Revision
Author,Autor
"CMS Page Trees","Página de árboles del CMS"
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).","Por favor, seleccione version(es)."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Editar revisión"
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version","Editar versión"
"You have saved the version.","You have saved the version."
"Please select revision(s).","Por favor, seleccione revision(es)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,Protegido
"Delete Multiple Hierarchies","Eliminar múltiples jerarquías"
