"Are you sure?","Êtes-vous sûr(e)?"
Cancel,Annuler
Quantity,"Qté révisions"
No,Non
"All Store Views","Vues de l'ensemble de la boutique"
Delete,Effacer
Save,Sauvegarder
Yes,Oui
Title,Titre
"URL Key","Clé d'URL"
"Please wait...","Please wait..."
Previous,Précédent
Next,Suivant
Page,Page
Loading...,Loading...
N/A,N/D
Default,Défaut
Ordered,Ordonné
Root,Racine
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page","Nouvelle page"
Created,"Créé "
Preview,Prévisualiser
CMS,CMS
Pages,Pages
"Edit Page","Edit Page"
"Enabled by Default","Activer par défaut"
"Disabled by Default","Désactivé par défaut"
Copy,Copier
Update,"Mise à jour"
Template,Modèle
Public,Public
Private,Privé
Owner,Propriétaire
"Choose Store View:","Sélectionner la vue de la boutique :"
Created:,Créé:
First,Premier
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy","Supprimer la hiérarchie en cours"
"Pages Hierarchy","Hiérarchie des pages"
"Page Properties","Propriétés de la page"
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,Suivant/précédent
"Enable Chapter/Section","Activer chapitre/section"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Active la fonctionnalité Chapitre/Section pour ce nœud, ses nœuds secondaires et ses pages"
Chapter/Section,Chapitre/Section
"Defines this node as Chapter/Section","Définit ce nœud comme Chapitre/Section"
"Pagination Options for Nested Pages","Options de pagination pour pages imbriquées"
"Enable Pagination","Activer la pagination"
Frame,Cadre
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Sauter cadre"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la position actuelle du cadre ne couvre pas les pages du plus haut niveau, restitue le lien vers la position actuelle plus/moins cette valeur"
"Page Navigation Menu Options","Options du menu de navigation sur la page"
"Exclude from Navigation Menu","Exclure du menu navigation"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Mise en page du menu"
"Only Children","Descendance seulement"
"Neighbours and Children","Voisins et descendance"
"Menu Detalization","Détails du menu"
"Maximal Depth","Profondeur maximale"
"Node Levels to Include","Niveaux de nœuds à inclure"
"List Type","Type de liste"
"List Style","Style de liste"
"Main Navigation Menu Options","Options du menu de navigation principal"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...","Ajouter un nœud"
"Add to tree.","Add to tree."
"Node Properties","Propriétés du nœud"
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID","Identification de la page"
"Manage Hierarchies","Gérer les hiérarchies"
"No nodes are available.","No nodes are available."
"Version Control","Contrôle de version"
Hierarchy,Hiérarchie
"Version Label","Version Label"
"Access Level","Access Level"
Versions,Versions
"Are you sure you want to delete this revision?","Êtes-vous sûr(e) de vouloir effacer cette révision?"
Publish,Publier
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Informations sur révision"
"Save as new version.","Save as new version."
"New Revision...","Nouvelle révision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Information de version"
Revision,Revision
Author,Auteur
"CMS Page Trees","Arbres de page CMS"
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).","Veuillez sélectionner la (les) version(s)."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Changer la révision"
