Action,Action
Tax,Tax
Website,Website
"All Websites","Todos os sites"
"Add Tax","Add Tax"
"Delete Tax","Delete Tax"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"Including FPT only","Incluindo somente FPT"
"Including FPT and FPT description","Incluindo FPT e descrição de FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição de FPT, preço final"
"Excluding FPT","Excluindo FPT"
"Fixed Product Tax","Imposto fixo do produto"
Country/State,Country/State
