"3D Secure","3D Secure"
"3D Secure Card Validation","Validation de carte 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validation 3D Secure nécessaire pour les cartes Maestro. Le support des cartes American Express nécessite l'acceptation d'un accord supplémentaire. En savoir plus sur <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>"
"Ability for buyer to purchase without PayPal account.","Possibilité pour l'acheteur d'effectuer des achats sans compte PayPal."
"Account Status","Statut du compte"
"Active","Actif"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Ajouter un bouton PayPal Express à votre panier d'achat existant pour régler rapidement et facilement. PayPal gère toutes les procédures de paiement."
"Allowed Credit Card Types","Types de cartes de crédit autorisés"
"Also affects mini-shopping cart.","Affecte également les mini paniers d'achat."
"API Credentials","Informations d'authentification API"
"Authentication Method","Méthode d'authentification"
"Boarding Status","Statut d'approbation"
"Canceled","Annulé"
"Centinel Custom Api URL","URL de l'API personnalisé Centinel"
"Countries Payment Applicable From","Paiement autorisé depuis"
"Credit Card Settings","Paramètres de carte de crédit"
"Debug Mode","Mode déboguage"
"Disabled","Désactivé"
"Display Express Checkout in the Payment Information step","Afficher la caisse expresse dans l'étape sur les informations de paiement"
"Does not work if there are more than 10 shipping options available.","Ne fonctionne pas s'il existe plus de 10 options d'expédition disponibles."""
"Enable PayPal Guest Checkout","Activer PayPal integral ( Paiement direct par cartes et compte PayPal)"
"Enable this Solution","Activer cette solution"
"Grant Permissions to Magento Go with PayPal","Accorde l'autorisation à Magento Go avec PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Si vide, une valeur par défaut sera utilisée. Une URL personnalisée peut être fournie par CardinalCommerce."
"If this is an existing PayPal account - ","S'il s'agit d'un compte Paypal existant -"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si cette option est activée, le client peut modifier l'adresse et la méthode de livraison sur le site de PayPal. En production, cela se fait par protocole serveur HTTP uniquement."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Il est recommandé de fixer cette valeur sur """"Carte de crédit ou de débit"""" par vue magasin"
"It is recommended to set this value to ""PayPal"" per store views.","Il est recommandé de fixer cette valeur sur ""Paypal"" par vue magasin"
"Method's Settings","Paramètres de la méthode"
"Payment Action","Action de paiement"
"Payment Applicable From","Paiement applicable depuis"
"Paypal Account","Compte PayPal"
"PayPal Express Checkout Shortcut Wrapper","Cadre du raccourci vers PayPal Express"
"PayPal Express Order Review Form","Formulaire de revue de commande PayPal Express"
"Pending","En attente"
"Permissions","Autorisations"
"Require CVV Entry","Données CVV requises"
"Setup or change your site permissions with Paypal","Configurez ou modifiez les permissions relatives à votre site avec PayPal"
"Severe 3D Secure Card Validation","Validation de carte 3D Secure stricte"
"Severe Validation Removes Chargeback Liability on Merchant","La validation stricte supprime le risque de demande de remboursement pour le vendeur"
"Shortcut Buttons Flavor","Apparence des boutons de raccourci"
"Shortcut on Product View","Raccourci sur la page produit"
"Shortcut on Shopping Cart","Raccourci sur la page panier"
"Sort Order","Ordre de tri"
"Title","Titre"
"Transfer Cart Line Items","Transférer les articles du panier"
"Transfer Shipping Options","Transférer les options d'expédition"
"Unable to start Express Checkout.","Impossible d'initier un Paiement PayPal."
"Value must contain only alphanumeric character","La valeur doit contenir uniquement des caractères alphanumériques"
"Website Payment Pro (Permissions)","Paypal Intégral Evolution (permissions)"
"Website Payment Pro (Permissions) Settings","Paramètres Paypal Intégral Evolution (permissions)"
"Website Payments Pro (API Credentials)","Paypal Intégral Evolution (informations d'accès à l'API)"
"Website Payments Pro (API Credentials) Settings","Options Website Payments Pro (API)"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","Vous allez être redirigé vers le site PayPal. Les paramètres de Checkout Express ou de PayPal Intégral Evolution seront réinitialisés. Voulez-vous continuer ?"
