"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check ist nicht verfügbar, wenn CIM aktiviert ist."
"<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>","<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Registrieren sie sich für Authorize.net</a>"
"Aurore","Aurore"
"Carte Bancaire CB","Carte Bancaire CB"
"Diners Club","Diners Club"
"e-Carte Bleue","e-Carte Bleue"
"Enable 3D Secure Card Validation in Admin","Aktivieren Sie die sichere 3D-Kartenbestätigung als Admin"
"Enable 3D Secure Card Validation on Frontend","Aktivieren Sie die sichere 3D-Kartenbestätigung am Frontend"
"Enable CIM","Aktivieren Sie CIM"
"Inline CSS styles","Inline CSS-Stile"
"Maestro","Maestro"
"Method is not present.","Methode nicht vorhanden."
"Payment Bridge action is not set.","Payment Bridge Maßnahme wurde nicht erbeten."
"Payment Bridge Styling","Zahlungsbrücke gestalten"
"Use Current Design","Verwenden Sie das derzeitige Design"
