"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check will be unavailable if CIM enabled."
"<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>","<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>"
"Aurore","Aurore"
"Carte Bancaire CB","Carte Bancaire CB"
"Diners Club","Diners Club"
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Enable CIM"
"Inline CSS styles","Inline CSS styles"
"Maestro","Maestro"
"Method is not present.","Method is not present."
"Payment Bridge Styling","Payment Bridge Styling"
"Payment Bridge action is not set.","Payment Bridge action is not set."
"Use Current Design","Use Current Design"
"e-Carte Bleue","e-Carte Bleue"
