"3D Secure Check will be unavailable if CIM enabled.","La vérification 3D Secure sera indisponible si CIM est désactivé."
"<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>","<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Inscrivez-vous à Authorize.net</a>"
"Aurore","Aurore"
"Carte Bancaire CB","Carte bancaire CB"
"Diners Club","Diners club"
"e-Carte Bleue","Carte bleue électronique"
"Enable 3D Secure Card Validation in Admin","Activer la validation de carte sécurisée 3D dans Admin"
"Enable 3D Secure Card Validation on Frontend","Activer la validation de carte sécurisée 3D pour les clients"
"Enable CIM","Activer CIM"
"Inline CSS styles","Styles CSS en ligne"
"Maestro","Maestro"
"Method is not present.","La méthode n'est pas présente"
"Payment Bridge action is not set.","L'action de la passerelle de paiement n'est pas définie."
"Payment Bridge Styling","Apparence de la passerelle de paiement"
"Use Current Design","Utiliser le design actuel"
