"3D Secure Check will be unavailable if CIM enabled.","如果启用了CIM，则无法使用3D安全检查。"
"<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>","<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">注册Authorize.net</a></source>"
"Aurore","Aurore"
"Carte Bancaire CB","Carte Bancaire CB"
"Diners Club","Diners Club"
"e-Carte Bleue","e-Carte Bleue"
"Enable 3D Secure Card Validation in Admin","在管理中启用3D安全卡验证"
"Enable 3D Secure Card Validation on Frontend","在前端启用3D安全卡验证"
"Enable CIM","启用CIM"
"Inline CSS styles","内联CSS样式"
"Maestro","Maestro"
"Method is not present.","方法不存在。"
"Payment Bridge action is not set.","未设置Payment Bridge操作。"
"Payment Bridge Styling","Payment Bridge样式"
"Use Current Design","使用当前设计"
"Gives effect only when payment bridge is active.","仅在payment bridge处于活动状态时才有效。"
"Use via Payment Bridge","通过Payment Bridge使用"
