"%s (Default Template from Locale)","%s (Formulaire par défaut pour cette zone)"
"22 Sycamore Fork Road","22, Sycamore Fork Road"
"Action","Action"
"Add Column","Ajouter une colonne"
"Add New Template","Ajouter nouveau modèle"
"Add after","Ajouter après"
"Amount","Montant"
"Applied Coupon Code","Code du coupon appliqué"
"Are you sure that you want to delete this template?","Voulez-vous vraiment supprimer ce formulaire ?"
"Back","Retour"
"Balance Amount","Montant du solde"
"Billing Address","Adresse de facturation"
"Birthdate","Date de naissance"
"Bold","Gras"
"Bundle product dynamic price","Prix avantageux des produits par lot"
"Bundle product fixed price","Prix fixe des produits par lot"
"Canceled Discount Amount","Montant de de la remise annulée"
"Canceled Shipping Amount","Montant de la livraison annulée"
"Canceled Subtotal Amount Without Tax","Montant hors-taxe du sous-total annulé"
"Canceled Tax Amount","Montant des taxes annulées"
"Cannot create mock-up data for preview.","Impossible de créer des données simulées pour l'aperçu"
"Cannot generate PDF.","Impossible de générer un PDF."
"Cannot load %s entity #%s; please reload page and try again.","Impossible de charger %s entité #%s ; veuillez recharger la page et essayer à nouveau."
"Cannot load %s entity; please reload page and try again.","Impossible de charger %s entité ; veuillez recharger la page et essayer à nouveau."
"Cannot load converter for %s model.","Impossible de charger le convertisseur pour le modèle %s."
"City","Ville"
"Code","Code"
"Columns","Colonnes"
"Columns' Labels","Étiquettes des colonnes"
"Company","Compagnie"
"Configuration settings where current template is selected will be set to default values.","Les réglages de la configuration où le formulaire actuel est sélectionné seront définis comme valeurs par défaut."
"Continue","Continuer"
"Coral Springs, FL","Coral Springs, Floride"
"Country","Pays"
"Creation Date","Date de création"
"Credit Memo","Note de crédit"
"Crucial 1GB PC4200 DDR2 533MHz Memory","Mémoire vive 1GB PC4200 DDR2 533MHz"
"Crucial 2GB PC4200 DDR2 533MHz Memory","Mémoire vive 2GB PC4200 DDR2 533MHz"
"Customer","Client"
"Customer Balance Amount","Montant du solde client"
"Date Added","Date ajoutée"
"Date Updated","Date de mise à jour"
"Default Template from Locale","Formulaire par défaut pour cette zone"
"Delete","Supprimer"
"Delete Template","Supprimer le formulaire"
"Discount","Réduction"
"Discount Amount","Montant de réduction"
"Discount Description","Description de la remise"
"Discount Excluding Tax","Remise hors-taxes"
"Discount Including & Excluding Tax","Remise hors-taxes et toutes taxes comprises"
"Discount Including Tax","Remise toutes taxes comprises"
"Discount Rate","Taux de remise"
"Display Discount Taxes","Afficher les remises de taxes"
"Does order have only virtual products (gift cards, virtual products, etc)","Est-ce que la commande ne comprend que des produits virtuels (cartes cadeaux, produits virtuels, etc.)"
"E-mail","E-mail"
"Edit Printed Template","Modifier le formulaire imprimé"
"Edit Printed Template (%s)","Modifier le formulaire imprimé (%s)"
"Edit Template","Modifier le formulaire"
"Electronics","Électronique"
"Electronics product","Produits électroniques"
"Email","Email"
"Enable Printed Templates","Activer"
"Fax","Fax"
"First Name","Prénom"
"Fixed Product Tax Amount","Montant des taxes fixes sur le produit"
"Flat Rate - Fixed","Taux forfaitaire - fixe"
"Font Family","Famille de police de caractères"
