"Invoice Information","Invoice Information"
"Conditions and Actions","Conditions and Actions"
"Title","Title"
"Add New User","Add New User"
"Customers Reviews","Customers Reviews"
"Store Name","Store Name"
"Edit Attribute Set ","Edit Attribute Set "
"State/Province","State/Province"
"Coupons Reports","Coupons Reports"
"No Newsletter Found","No Newsletter Found"
"Session Start Time","Session Start Time"
"The invoice you are trying to create creadit memo for, no longer exists","The invoice you are trying to create creadit memo for, no longer exists"
"Comparable","Comparable"
"Configuration Successfully Saved","Configuration Successfully Saved"
"Block Title","Block Title"
"Recent Orders","Recent Orders"
"Add New","Add New"
"Add New Image","Add New Image"
"Unable to find a user to delete","Unable to find a user to delete"
"Zip/Postal Code","Zip/Postal Code"
"Items in Cart","Items in Cart"
"This user no longer exists","This user no longer exists"
"Shipping Method","Shipping Method"
"Cancel Order","Cancel Order"
"Customer Group was saved succesfully","Customer Group was saved succesfully"
"Roles","Roles"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Save Account","Save Account"
"View Order","View Order"
"Catalog Price Rules","Catalog Price Rules"
"Products Reviews","Products Reviews"
"Number Purchased","Number Purchased"
"Edit Answer","Edit Answer"
"Rule Name","Rule Name"
"You cannot delete this attribute","You cannot delete this attribute"
"List only","List only"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Created On","Created On"
"Backend Model","Backend Model"
"Create Product Settings","Create Product Settings"
"Store Information","Store Information"
"Order Totals","Order Totals"
"Delete Category","Delete Category"
"Tag","Tag"
"Phisical Products","Phisical Products"
"Created at","Created at"
"User Roles Information","User Roles Information"
"Currency Information","Currency Information"
"Attribute Label","Attribute Label"
"Credit Memo Information","Credit Memo Information"
"Error Code","Error Code"
"Tag Detail","Tag Detail"
"State","State"
"Delete Address","Delete Address"
"CMS","CMS"
"Error while deleting this tax class. Please, try again later.","Error while deleting this tax class. Please, try again later."
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Edit Queue","Edit Queue"
"Block was saved succesfully","Block was saved succesfully"
"Rating Options","Rating Options"
"Tax Class","Tax Class"
"Add Attribute","Add Attribute"
"Error while saving this group. Please try again later.","Error while saving this group. Please try again later."
"Summary of review","Summary of review"
"Cancel","Cancel"
"Use In Layered Navigation<br/>(Can be used only with catalog input type ","Use In Layered Navigation<br/>(Can be used only with catalog input type "
"Edit Tax Rule","Edit Tax Rule"
"Product Type","Product Type"
"Default price","Default price"
"Categories","Categories"
"Ship to Firstname","Ship to Firstname"
"Stop further rules processing","Stop further rules processing"
"Parent Category","Parent Category"
