"Category","Category"
"All","All"
"Best Value","Best Value"
"Go to Home Page","Go to Home Page"
"Please select static block ...","Please select static block ..."
"Choose option...","Choose option..."
"Price","Price"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Products only","Products only"
"Grid","Grid"
"No layout updates","No layout updates"
"Compare Products List","Compare Products List"
"Home","Home"
"List","List"
"Category","Category"
"SKU","SKU"
"Special Price:","Special Price:"
"Add to Compare","Add to Compare"
"Clear All Items","Clear All Items"
"Availability: In stock. Ships within 24hours.","Availability: In stock. Ships within 24hours."
"Next","Next"
"Quick Overview","Quick Overview"
"Add to My Wishlist","Add to My Wishlist"
"Add Items to Cart","Add Items to Cart"
"Related Products","Related Products"
"See all %s","See all %s"
"Best Selling Products","Best Selling Products"
"Product Attribute Specs","Product Attribute Specs"
"Prev","Prev"
"Choose an Option...","Choose an Option..."
"View as","View as"
"This bundle is out of stock.","This bundle is out of stock."
"Shopping Options","Shopping Options"
"Compare Products","Compare Products"
"Product Description","Product Description"
"Remove This Item","Remove This Item"
"Price","Price"
"Shop by","Shop by"
"More Views","More Views"
"There are no products matching the selection.","There are no products matching the selection."
"Remove Product","Remove Product"
"Product Name","Product Name"
"Availability: Out of stock.","Availability: Out of stock."
"Page:","Page:"
"You have no items to compare.","You have no items to compare."
"Buy %s for %s each","Buy %s for <strong>%s each</strong>"
"Compare Items","Compare Items"
"Zoom In","Zoom In"
"Add to Cart","Add to Cart"
"No options of this product are available.","No options of this product are available."
"Zoom Out","Zoom Out"
"Items %s to %s of %s total","Items <strong>%s</strong> to <strong>%s</strong> of <strong>%s</strong> total"
"Regular Price:","Regular Price:"
"Print This Page","Print This Page"
"Old Price:","Old Price:"
"Compare Products - %d Items","Compare Products <span class=""count"">- %d Items</span>"
"Sort by","Sort by"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Add to Wishlist","Add to Wishlist"
"View Details","View Details"
"Browse By","Browse By"
"Out of Stock","Out of Stock"
"Check items to add to the cart or select all.","Check items to add to the cart or <a href=""#"" onclick=""selectAllRelated();return false;"">select all</a>."
"Show","Show"
"per page","per page"
"Close Window","Close Window"
"Set Ascending Direction","Set Ascending Direction"
"Qty","Qty"
"Cross-sell Products","Cross-sell Products"
"Learn More","Learn More"
"Category Navigation:","Category Navigation:"
"Set Descending Direction","Set Descending Direction"
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"Additional Information","Additional Information"
"Previous","Previous"
"Currently Shopping by","Currently Shopping by"
"OR","OR"
"%s Item(s)","%s Item(s)"
