"Proceed to Checkout","Proceed to Checkout"
"Checkout method","Checkout method"
"Shipping Methods","Shipping Methods"
"State/Province","State/Province"
"Edit Shipping Address","Edit Shipping Address"
"Order Success","Order Success"
"Create Billing Address","Create Billing Address"
"Checkout","Checkout"
"Invalid data","Invalid data"
"Edit Address","Edit Address"
"Billing Information","Billing Information"
"Place Order","Place Order"
"Change Billing Address","Change Billing Address"
"Select Addresses","Select Addresses"
"Shipping Method","Shipping Method"
"Total for this address","Total for this address"
"Country","Country"
"Clear","Clear"
"Shipping Information","Shipping Information"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Edit Billing Address","Edit Billing Address"
"Some of the products you requested are not available in desired quantity","Some of the products you requested are not available in desired quantity"
"Some of the products you requested are not available","Some of the products you requested are not available"
"My Cart (%d item)","My Cart (%d item)"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"Create Shipping Address","Create Shipping Address"
"My Cart","My Cart"
"Review Order","Review Order"
"Order Review","Order Review"
"Payment Information","Payment Information"
"My Cart (%d items)","My Cart (%d items)"
"There is already a customer registered using this email","There is already a customer registered using this email"
