"My Balance","My Balance"
"Password forgotten","Password forgotten"
"Invalid current password","Invalid current password"
"You are currently subscribed to our newsletter","You are currently subscribed to our newsletter"
"Create account","Create account"
"My Account","My Account"
"Edit Address","Edit Address"
"Customer group already exists.","Customer group already exists."
"Newsletter Subscriptions","Newsletter Subscriptions"
"You have not set a primary billing address.","You have not set a primary billing address."
"You have not set a primary shipping address.","You have not set a primary shipping address."
"A new password was sent.","A new password was sent."
"Admin","Admin"
"Edit Account Info","Edit Account Info"
"Address Book","Address Book"
"Change Account Password","Change Account Password"
"Login","Login"
"Thank you for registering with %s","Thank you for registering with %s"
"Add New Address","Add New Address"
"Create new customer account","Create new customer account"
"My Tags","My Tags"
"Customer email already exists","Customer email already exists"
"You are currently not subscribed to our newsletter","You are currently not subscribed to our newsletter"
