"Time Zone","Time Zone"
"Default Currency","Default Currency"
"One from PHP Extensions ""%s"" must be loaded","One from PHP Extensions ""%s"" must be loaded"
"Database connection error","Database connection error"
"PHP Extension ""%s"" must be loaded","PHP Extension ""%s"" must be loaded"
"Url ""%s"" is invalid","Url ""%s"" is invalid"
"Locale","Locale"
"Url ""%s"" is not accessible","Url ""%s"" is not accessible"
"This Url is invalid","This Url is invalid"
"Path ""%s"" must be writable","Path ""%s"" must be writable"
"PHP Extension '%s' loaded","PHP Extension '%s' loaded"
