"Installation","Установка"
"One from PHP Extensions ""%s"" must be loaded","Все из PHP расширений ""%s"" должны быть подключины"
"PHP Extension ""%s"" must be loaded","PHP расширение <strong>""%s""</strong> должно быть подключено"
"Url ""%s"" is not accessible","Адрес ""%s"" недоступен"
"Url ""%s"" is not valid","Некорректный адрес ""%s"" "
"Path ""%s"" must be writable","Путь ""%s"" должен быть доступен для записи"
"Database connection error","Ошибка подключения к базе данных"
"Welcome to Magento's Installation Wizard","Добро пожаловать в визард установки Magento"
"I agree to the above terms and conditions","Я согласен с лицензией"
"Continue","Продолжить"
"Connection","Установки подключения"
"Database Connection","Подключение к базе данных"
"Host","Хост"
"Database host","Хост для подключения к базе данных"
"Database Name","Имя БД"
"User Name","Имя пользователя"
"Database user name","Имя пользователя для подключения к БД"
"User Password","Пароль"
"Database user password","Пароль для подключения к БД"
"Default store","Установки по умолчанию"
"Host name","Хост"
"Base Path","Базовый путь"
"WWW base path","WWW base path"
"Protocol","Протокол"
"Port","Порт"
"For HTTPS connections, default port is 443.","Для HTTPS подключения, портом по умолчанию является 443"
"For HTTP connections, default port is 80.","Для HTTP подключения, портом по умолчанию является 80"
"Secure Connection","Защищенное соединение"
"Secure Host","Хост"
"Secure host name","Secure host name"
"Secure Base Path","Базовый путь"
"Secure www base path","Secure www base path"
"Secure Protocol","Протокол"
"Secure Port","Порт"
"Configuration options","Опции конфигурации"
"Skip URL validation","Пропустить проверку URL"
"Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required.","Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required."
"Required Fields","Обязательно для заполнения"
"Please set all required settings before clicking Continue","Please set all required settings before clicking Continue"
"Start Installation","Начало установки"
"Localization","Локализация"
"Configuration","Конфигурация"
"Create Admin Account","Создание администратора"
"You're All Set!","Завершение установки"
"Having trouble installing Magento?","Возникли проблемы с установкой Magento?"
"Check out our","Воспользуйтесь нашим"
"Installation Guide","руководством по установке"
"Personal Information","Персональные данные"
"First Name","Имя"
"Last Name","Фамилия"
"Email","Email"
"Email Address","Адрес электронной почты"
"Login Information","Данные авторизации"
"Username","Имя пользователя"
"Password","Пароль"
"Confirm Password","Подтверждение пароля"
"Password Confirmation","Подтверждение пароля"
"Encryption Key","Ключ шифрования"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page.","Данный ключ используется системой для шифрования пароле, номеров кредитных карт и т.д. Если Вы оставите это поле пустым, ключ будет сгенерирован атоматически и показан на следующей странице."
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Before you continue onto your store, make note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue onto your store, make note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"Go to Frontend","Перейти на сайт"
"Go to Backend","Войти в админ. панель"
"Locale settings","Установки локали"
"Locale","Локаль"
"Time Zone","Часовой пояс"
"Default Currency","Валюта"
