"Number","Number"
"Please select credit card type","Please select credit card type"
"Type","Type"
"March","March"
"August","August"
"May","May"
"June","June"
"American Express","American Express"
"Visa","Visa"
"July","July"
"February","February"
"October","October"
"January","January"
"April","April"
"Master Card","Master Card"
"Expiration","Expiration"
"November","November"
"September","September"
"December","December"
"Discover","Discover"
"Month","Month"
"Year","Year"
"Owner","Owner"
"Credit Card","Credit Card"
