"Problem during communication with PayPal","Problem during communication with PayPal"
"Invalid data","Invalid data"
"There was an error connecting to Paypal server:","There was an error connecting to Paypal server:"
"Paypal Checkout","Paypal Checkout"
"Please select a valid shipping method","Please select a valid shipping method"
"N/A","N/A"
"Sale","Sale"
"There was an error during communication with Paypal:","There was an error during communication with Paypal:"
"Order","Order"
"Authorization","Authorization"
