"Credit Memo","Credit Memo"
"There","There"
"My Orders","My Orders"
"Store Credit","Store Credit"
"Sent","Sent"
"Returned","Returned"
"Order Details","Order Details"
"Unknown invoice type","Unknown invoice type"
" in invoice to return"," in invoice to return"
"Discount","Discount"
"American Express","American Express"
"Visa","Visa"
"Pending","Pending"
"Subtotal","Subtotal"
"Unknown Status","Unknown Status"
"Backordered","Backordered"
"Grand Total","Grand Total"
"Payed","Payed"
"Shipped","Shipped"
"Master Card","Master Card"
"Mixed","Mixed"
"Partial","Partial"
"Order Invoices","Order Invoices"
"Unknown Type","Unknown Type"
"Shipping & Handling","Shipping & Handling"
" in order to ship"," in order to ship"
"Tax","Tax"
"Discover","Discover"
"Canceled","Canceled"
"Invoice","Invoice"
