"You tag was successfully saved","You tag was successfully saved"
"Your tag(s) have been submitted","Your tag(s) have been submitted"
"List","List"
"You tag was successfully deleted","You tag was successfully deleted"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"Price","Price"
"All Tags","All Tags"
"Tag","Tag"
"Unable to save tag(s)","Unable to save tag(s)"
"Thank you. Your tag accepted for moderation.","Thank you. Your tag accepted for moderation."
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Grid","Grid"
"Products tagged with '%s'","Products tagged with '%s'"
"No mathces found.","No mathces found."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Name","Name"
