"%s (Default Template from Locale)","%s (Standardvorlage aus Sprachversion)"
"22 Sycamore Fork Road","22 Sycamore Fork Road"
"Action","Aktion"
"Add Column","Spalte hinzufügen"
"Add New Template","Neue Vorlage"
"Add after","Hinzufügen hinter"
"Amount","Betrag"
"Applied Coupon Code","Angewandter Gutscheincode"
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlge löschen möchten?"
"Back","Zurück"
"Balance Amount","Saldo Summe"
"Billing Address","Rechnungsadresse"
"Birthdate","Geburtsdatum"
"Bold","Fett"
"Bundle product dynamic price","Dynamischer Produktbündel-Preis"
"Bundle product fixed price","Fixer Produktbündel-Preis"
"Canceled Discount Amount","Stornierter Rabatt Summe"
"Canceled Shipping Amount","Stornierte Versandsumme"
"Canceled Subtotal Amount Without Tax","Stornierte Zwischensumme ohne Steuern"
"Canceled Tax Amount","Stornierte Steuersumme"
"Cannot create mock-up data for preview.","Modelldaten für Vorschau können nicht erstellt werden."
"Cannot generate PDF.","PDF kann nicht erstellt werden."
"Cannot load %s entity #%s; please reload page and try again.","Das Element %s  #%s kann nicht geladen werden, bitte laden Sie die Seite neu und versuchen Sie es noch einmal."
"Cannot load %s entity; please reload page and try again.","Das Element %s kann nicht geladen werden, bitte laden Sie die Seite neu und versuchen Sie es noch einmal."
"Cannot load converter for %s model.","Wandler für Modell %s kann nicht geladen werden."
"City","Stadt"
"Code","Code"
"Columns","Spalten"
"Columns' Labels","Bezeichnung der Spalte"
"Company","Unternehmen"
"Configuration settings where current template is selected will be set to default values.","Die Konfigurationseinstellungen werden bei Auswahl der aktuellen Vorlage auf die Standardwerte zurückgesetzt."
"Continue","Weiter"
"Coral Springs, FL","Coral Springs, FL"
"Country","Land"
"Creation Date","Erstellungsdatum"
"Credit Memo","Gutschrift"
"Crucial 1GB PC4200 DDR2 533MHz Memory","Crucial 1GB PC4200 DDR2 533MHz Arbeitsspeicher"
"Crucial 2GB PC4200 DDR2 533MHz Memory","Entscheidend 2GB PC4200 DDR2 533MHz Arbeitsspeicher"
"Customer","Kunde"
"Customer Balance Amount","Kundensaldo Summe"
"Date Added","Datum hinzugefügt"
"Date Updated","Aktualisierungsdatum"
"Default Template from Locale","Standardvorlage aus Locale"
"Delete","Löschen"
"Delete Template","Vorlage löschen"
"Discount","Rabatt"
"Discount Amount","Rabattsumme"
"Discount Description","Rabatt Beschreibung"
"Discount Excluding Tax","Rabatt exklusive Steuern"
"Discount Including & Excluding Tax","Rabatt inklusive und exklusive Steuern"
"Discount Including Tax","Rabatt inklusive Steuern"
"Discount Rate","Rabatt Höhe"
"Display Discount Taxes","Steuerermäßigungen anzeigen"
"Does order have only virtual products (gift cards, virtual products, etc)","Besteht die Bestellung nur aus virtuellen Produkten (Geschenkgutscheine, virtuelle Produkte, etc.)"
"E-mail","E-Mail"
"Edit Printed Template","Gedruckte Vorlage bearbeiten"
"Edit Printed Template (%s)","Gedruckte Vorlage (%s) bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Electronics","Elektronik"
"Electronics product","Elektronik Produkt"
"Email","E-Mail"
