"%s (Default Template from Locale)","%s (Default Template from Locale)"
"22 Sycamore Fork Road","22 Sycamore Fork Road"
"Action","Action"
"Add Column","Add Column"
"Add New Template","Add New Template"
"Add after","Add after"
"Amount","Amount"
"Applied Coupon Code","Applied Coupon Code"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Back","Back"
"Balance Amount","Balance Amount"
"Billing Address","Billing Address"
"Birthdate","Birthdate"
"Bold","Bold"
"Bundle product dynamic price","Bundle product dynamic price"
"Bundle product fixed price","Bundle product fixed price"
"Canceled Discount Amount","Canceled Discount Amount"
"Canceled Shipping Amount","Canceled Delivery Amount"
"Canceled Subtotal Amount Without Tax","Canceled Subtotal Amount Without VAT"
"Canceled Tax Amount","Canceled VAT Amount"
"Cannot create mock-up data for preview.","Cannot create mock-up data for preview."
"Cannot generate PDF.","Cannot generate PDF."
"Cannot load %s entity #%s; please reload page and try again.","Cannot load %s entity #%s; please reload page and try again."
"Cannot load %s entity; please reload page and try again.","Cannot load %s entity; please reload page and try again."
"Cannot load converter for %s model.","Cannot load converter for %s model."
"City","City"
"Code","Code"
"Columns","Columns"
"Columns' Labels","Column Labels"
"Company","Company"
"Configuration settings where current template is selected will be set to default values.","Configuration settings where current template is selected will be set to default values."
"Continue","Continue"
"Coral Springs, FL","Coral Springs, FL"
"Country","Country"
"Creation Date","Creation Date"
"Credit Memo","Credit Memo"
"Crucial 1GB PC4200 DDR2 533MHz Memory","Crucial 1GB PC4200 DDR2 533MHz Memory"
"Crucial 2GB PC4200 DDR2 533MHz Memory","Crucial 2GB PC4200 DDR2 533MHz Memory"
"Customer","Customer"
"Customer Balance Amount","Customer Balance Amount"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Default Template from Locale","Default Template from Locale"
"Delete","Delete"
"Delete Template","Delete Template"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Discount Description","Discount Description"
"Discount Excluding Tax","Discount Excluding VAT"
"Discount Including & Excluding Tax","Discount Including & Excluding VAT"
"Discount Including Tax","Discount Including VAT"
"Discount Rate","Discount Rate"
"Display Discount Taxes","Display Discount Taxes (VAT)"
"Does order have only virtual products (gift cards, virtual products, etc)","Does order have only virtual products (gift cards, virtual products, etc)"
"E-mail","E-mail"
"Edit Printed Template","Edit Printed Template"
"Edit Printed Template (%s)","Edit Printed Template (%s)"
"Edit Template","Edit Template"
"Electronics","Electronics"
"Electronics product","Electronics product"
"Email","Email"
"Enable Printed Templates","Enable"
"Fax","Fax"
"First Name","First Name"
"Fixed Product Tax Amount","Fixed Product VAT Amount"
"Flat Rate - Fixed","Flat Rate - Fixed"
"Font Family","Font Family"
"Font Size","Font Size"
"Footer Height","Footer Height"
"Footer Height Measure","Footer Height Measure"
"General","General"
"Gift Cards Block","Gift Cards Block"
"Gift Cards Block in Base Currency","Gift Cards Block in Base Currency"
"Global Currency Code","Global Currency Code"
"Grand Total","Grand Total"
"Grand Total Without Tax","Grand Total Without VAT"
"Grand Total Without Tax Without Discount Tax","Grand Total Without VAT Without Discount VAT"
"Grand Total with Tax","Grand Total with VAT"
"HTC Touch Diamond","HTC Touch Diamond"
"Header Height","Header Height"
"Header Height Measurement","Header Height Measurement"
"Hill","Hill"
"ID","ID"
"Info Block","Info Block"
"Insert Footer Separator","Insert Footer Separator"
"Insert Header Separator","Insert Header Separator"
"Insert Variable...","Insert Variable..."
"Insert the grid with items for current template type","Insert the grid with items for current template type."
"Insert the grid with tax information for current template type.","Insert the grid with VAT information for current template type."
"Invoice","Invoice"
"Invoice Shipping Amount","Invoice Delivery Amount"
"Invoiced Balance Amount","Invoiced Balance Amount"
"Invoiced Discount Amount","Invoiced Discount Amount"
"Invoiced Subtotal Amount Without Tax","Invoiced Subtotal Amount Without VAT"
"Invoiced Tax Amount","Invoiced VAT Amount"
"Is customer guest","Is customer guest"
"Italic","Italic"
"Item row","Item row"
"Items Grid","Items Grid"
"J.","J."
"K.","K."
"Keyboard","Keyboard"
"Last Name","Last Name"
"Load Template","Load Template"
"Logitech diNovo Edge Keyboard","Logitech diNovo Edge Keyboard"
"Magento","Magento"
"Main Website\nMain Store\nEnglish","Main Website\nMain Store\nEnglish"
"Memory","Memory"
"Method Code","Method Code"
"Method Name","Method Name"
"Middle Name","Middle Name"
"Middle Name/Initial","Middle Name/Initial"
"Mrs.","Mrs."
"Negative Adjustment","Negative Adjustment"
"Negative Adjustment Amount","Negative Adjustment Amount"
"New Printed Template","New Printed Template"
"New Template","New Template"
"Nine West Women's Lucero Pump","Nine West Women's Lucero Pump"
"Nine West Women\'s Lucero Pump","Nine West Women\'s Lucero Pump"
"No Templates Found","No Templates Found"
"Number","Number"
"Option","Option"
"Order","Order"
"Order Currency Code","Order Currency Code"
"PDF Print-outs","PDF Print-outs"
"PDF aggregator hasn't been found.","PDF aggregator hasn't been found."
"PDF renderer adapter hasn't been found.","PDF renderer adapter hasn't been found."
"Page Number","Page Number"
"Page Orientation","Page Orientation"
"Page Size","Page Size"
"Pages Quantity","Pages Quantity"
"Payment Information","Payment Information"
"Please make sure that popups are allowed.","Please make sure that popups are allowed."
"Please select entities to print.","Please select entities to print."
"Please select orders to print.","Please select orders to print."
"Position","Position"
"Positive Adjustment","Positive Adjustment"
"Positive Adjustment Amount","Positive Adjustment Amount"
"Prefix","Prefix"
"Preview HTML","Preview HTML"
"Preview PDF","Preview PDF"
"Price","Price"
"Price with Discount","Price with Discount"
"Price with Discount Excluding Tax","Price with Discount Excluding VAT"
"Price with Tax","Price with VAT"
"Price with taxes","Price with taxes (VAT)"
"Printed Credit Memo","Printed Credit Memo"
"Printed Invoice","Printed Invoice"
"Printed Shipment","Printed Shipment"
"Printed Shipment Template","Printed Shipment Template"
"Printed Template","Printed Template"
"Printed Template Preview","Printed Template Preview"
"Printed Templates","Printed Templates"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Quantity","Quantity"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Recipient of Gift Message"
"Refunded Balance Amount","Refunded Balance Amount"
"Refunded Customer Balance","Refunded Customer Balance"
"Refunded Discount Amount","Refunded Discount Amount"
"Refunded Shipping Amount","Refunded Delivery Amount"
"Refunded Subtotal Amount Without Tax","Refunded Subtotal Amount Without VAT"
"Refunded Tax Amount","Refunded VAT Amount"
"Reset","Reset"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Select Template Type","Select Template Type"
"Sender of Gift Message","Sender of Gift Message"
"Shipment","Shipment"
"Shipping Address","Delivery Address"
"Shipping Amount Including Tax","Delivery Amount Including VAT"
"Shipping Amount Without Tax","Delivery Amount Without VAT"
"Shipping Discount Amount","Delivery Discount Amount"
"Shipping Excluding Tax","Delivery Excluding VAT"
"Shipping Including & Excluding Tax","Delivery Including & Excluding VAT"
"Shipping Including Tax","Delivery Including VAT"
"Shipping Method Description","Delivery Method Description"
"Shipping Tax Amount","Delivery VAT Amount"
"Shipping Tax Rate","Delivery VAT Rate"
"Shipping Total Amount","Delivery Total Amount"
"Shoe Size","Shoe Size"
"Sort Order","Sort Order"
"State/Region","State/Region"
"Status","Status"
"Store Currency Code","Store Currency Code"
"Store Name","Store Name"
"Street","Street"
"Street Multiline","Street Multiline"
"Subtotal","Subtotal"
"Subtotal Amount Including Tax","Subtotal Amount Including VAT"
"Subtotal Amount WIth Shipping Without Tax","Subtotal Amount WIth Delivery Without VAT"
"Subtotal Amount Without Tax","Subtotal Amount Without VAT"
"Subtotal Excluding Tax","Subtotal Excluding VAT"
"Subtotal Including & Excluding Tax","Subtotal Including & Excluding VAT"
"Subtotal Including Tax","Subtotal Including VAT"
"Subtotal by Tax","Subtotal by VAT"
"Subtotal with Discount","Subtotal with Discount"
"Subtotal with Discount Excluding Tax","Subtotal with Discount Excluding VAT"
"Subtotal with Discount and Tax","Subtotal with Discount and VAT"
"Suffix","Suffix"
"System","System"
"Table Header","Table Header"
"Table Row","Table Row"
"Tax Amount","Tax (VAT) Amount"
"Tax Amount Without Discount","Tax (VAT) Amount Without Discount"
"Tax Grid","Tax (VAT) Grid"
"Tax Rate","Tax (VAT) Rate"
"Tax Rate(s)","Tax (VAT) Rate(s)"
"Tax Rates","Tax (VAT) Rates"
"Tax Total","Tax (VAT) Total"
"Tax/VAT Number","Tax/VAT Number"
"Telephone","Telephone"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Type","Template Type"
"Templates","Templates"
"Texas","Texas"
"Text of Gift Message","Text of Gift Message"
"The Printed template has been saved.","The Printed template has been saved."
"The printed template has been deleted.","The printed template has been deleted."
"The template can contain only one footer separator.","The template can contain only one footer separator."
"The template can contain only one header separator.","The template can contain only one header separator."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"This Printed template no longer exists.","This Printed template no longer exists."
"This widget is available only for printed templates.","This widget is available only for printed templates."
"Time of Last Update","Time of Last Update"
"Title","Title"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Adjustment","Total Adjustment"
"Total Amount Refunded Offline","Total Amount Refunded Offline"
"Total Amount Refunded Online","Total Amount Refunded Online"
"Total Canceled Amount","Total Canceled Amount"
"Total Discount (Including Store Credit and Gift Cards)","Total Discount (Including Store Credit and Gift Cards)"
"Total Discount Amount","Total Discount Amount"
"Total Due Amount","Total Due Amount"
"Total Gift Cards Amount","Total Gift Cards Amount"
"Total Gift Cards Invoiced Amount","Total Gift Cards Invoiced Amount"
"Total Gift Cards Refunded Amount","Total Gift Cards Refunded Amount"
"Total Invoiced Amount","Total Invoiced Amount"
"Total Item Count","Total Item Count"
"Total Items Quantity","Total Items Quantity"
"Total Paid","Total Paid"
"Total Refunded Amount","Total Refunded Amount"
"Total Refunded Balance Amount","Total Refunded Balance Amount"
"Tracking Numbers","Tracking Numbers"
"Transactional Emails","Transactional Emails"
"US","US"
"Unable to find a Printed Template to delete.","Unable to find a Printed Template to delete."
"Unknown","Unknown"
"Used Currently For","Used Currently For"
"Weight","Weight"
"Weight Of All Items","Weight Of All Items"
"Width, px","Width, px"
"Wrong column name specified.","Wrong column name specified."
"Wrong type of PDF aggregator.","Wrong type of PDF aggregator."
"Wrong type of PDF renderer adapter.","Wrong type of PDF renderer adapter."
"Your Coupon:","Your Coupon:"
"Zero Tax","Zero VAT"
"Zip Code","Zip Code"
"Print","Print"
"Add/Edit","Add/Edit"
"Active only when Printed Template module is disabled","Active only when Printed Template module is disabled"
"Load Default Template","Load Default Template"
"Auto Header Height","Auto Header Height"
"Auto Footer Height","Auto Footer Height"
"Load Sample Template","Load Sample Template"
"Sample Template","Sample Template"
"Template","Template"
"Measues","Measues"
"Millimeters","Millimeters"
"Percents","Percents"
"Page orientation","Page orientation"
"Landscape","Landscape"
"Portrait","Portrait"
"Active only when PDF Print-outs module is disabled.","Active only when PDF Print-outs module is disabled."
"Sample Template standard","Sample Template standard"
"Magento Standard","Magento Standard"
"UK Standard","UK Standard"
"French Standard","French Standard"
"German Standard","German Standard"
"Total Including Tax with Discount","Total Including Tax (VAT) with Discount"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

