"%s (Default Template from Locale)","%s (Plantilla por defecto de la configuración regional)"
"22 Sycamore Fork Road","22 Sycamore Fork Road"
"Action","Acción"
"Add Column","Añadir columna"
"Add New Template","Añadir nueva plantilla"
"Add after","Añadir después"
"Amount","Cantidad"
"Applied Coupon Code","Código de cupón aplicado"
"Are you sure that you want to delete this template?","¿Está seguro de que desea eliminar esta plantilla?"
"Back","Volver"
"Balance Amount","Cantidad del balance"
"Billing Address","Dirección de Facturación"
"Birthdate","Fecha de nacimiento"
"Bold","Negrita"
"Bundle product dynamic price","Precio dinámico del producto empaquetado"
"Bundle product fixed price","Precio fijo de producto empaquetado"
"Canceled Discount Amount","Cantidad de descuento cancelada"
"Canceled Shipping Amount","Cantidad de envío cancelada"
"Canceled Subtotal Amount Without Tax","Cantidad subtotal sin impuestos cancelada"
"Canceled Tax Amount","Cantidad de impuesto cancelada"
"Cannot create mock-up data for preview.","No se pueden crear los datos de prueba para la vista preliminar."
"Cannot generate PDF.","No se puede generar el PDF."
"Cannot load %s entity #%s; please reload page and try again.","No se puede cargar %s la entidad #%s; recargue la página y pruebe de nuevo."
"Cannot load %s entity; please reload page and try again.","No se puede cargar la entidad %s; recargue la página y pruebe de nuevo."
"Cannot load converter for %s model.","No se pudo cargar el conversor para el modelo %s."
"City","Ciudad"
"Code","Código"
"Columns","Columnas"
"Columns' Labels","Etiquetas de las columnas"
"Company","Empresa"
"Configuration settings where current template is selected will be set to default values.","Los controles de la configuración en donde la plantilla actual está seleccionada volverán a los valores por defecto."
"Continue","Continuar"
"Coral Springs, FL","Coral Springs, Florida."
"Country","País"
"Creation Date","Fecha de creación"
"Credit Memo","Memorándum del crédito"
"Crucial 1GB PC4200 DDR2 533MHz Memory","Memoria Crucial 1GB PC4200 DDR2 533MHz"
"Crucial 2GB PC4200 DDR2 533MHz Memory","Memoria Crucial 2GB PC4200 DDR2 533MHz"
"Customer","Cliente"
"Customer Balance Amount","Saldo del cliente"
"Date Added","Fecha de subida"
"Date Updated","Fecha de actualización"
"Default Template from Locale","Código del método"
"Delete","Eliminar"
"Delete Template","Eliminar plantilla"
"Discount","Descuento"
"Discount Amount","Cantidad de descuento"
"Discount Description","Descripción del descuento"
"Discount Excluding Tax","Descuento sin tasas"
"Discount Including & Excluding Tax","Descuento con y sin tasas"
"Discount Including Tax","Descuento incluyendo tasas"
"Discount Rate","Tarifas de descuento"
"Display Discount Taxes","Mostrar tasas de descuento"
"Does order have only virtual products (gift cards, virtual products, etc)","Tiene el pedido solamente productos virtuales (tarjetas de regalo, productos virtuales, etc.)"
"E-mail","Correo electrónico"
"Edit Printed Template","Editar plantilla impresa"
"Edit Printed Template (%s)","Editar plantilla impresa (%s)"
"Edit Template","Editar plantilla"
"Electronics","Electrónica"
"Electronics product","Producto de electrónica"
"Email","Email"
"Enable Printed Templates","Habilitar"
"Fax","Fax"
"First Name","Nombre"
"Fixed Product Tax Amount","Cantidad fija de impuesto de producto"
"Flat Rate - Fixed","Tarifa plana - fija"
"Font Family","Familia de fuente"
"Font Size","Tamaño de fuente"
"Footer Height","Altura del pie de página"
"Footer Height Measure","Medida de la altura del pie de página"
"General","General"
"Gift Cards Block","Bloque de tarjetas de regalo"
"Gift Cards Block in Base Currency","Paquete de tarjetas de regalo en moneda base"
"Global Currency Code","Código de la divisa global"
"Grand Total","Suma total"
"Grand Total Without Tax","Importe total sin impuestos"
"Grand Total Without Tax Without Discount Tax","Importe total sin impuestos sin descontar impuestos"
"Grand Total with Tax","Importe total con impuestos"
"HTC Touch Diamond","HTC Touch Diamond"
"Header Height","Altura de la cabecera"
"Header Height Measurement","Medida de la altura de la cabecera"
"Hill","Apilar"
"ID","ID"
"Info Block","Bloque de información"
"Insert Footer Separator","Insertar separador de pie de página"
"Insert Header Separator","Insertar separador de cabecera"
"Insert Variable...","Insertar variable..."
"Insert the grid with items for current template type","Insertar la cuadrícula con los artículos para el tipo actual de plantilla."
"Insert the grid with tax information for current template type.","Insertar la cuadrícula con la información de impuestos para el tipo actual de plantilla."
"Invoice","Factura"
"Invoice Shipping Amount","Cantidad de factura de envío"
"Invoiced Balance Amount","Saldo de la factura"
"Invoiced Discount Amount","Cantidad de descuento facturada"
"Invoiced Subtotal Amount Without Tax","Cantidad subtotal facturada sin impuestos"
"Invoiced Tax Amount","Cantidad de impuestos facturada"
"Is customer guest","Es un cliente invitado"
"Italic","Cursiva"
"Item row","Fila de artículo"
"Items Grid","Cuadrícula de artículos"
"J.","J."
"K.","K."
"Keyboard","Teclado"
"Last Name","Apellido"
"Load Template","Cargar plantilla"
"Logitech diNovo Edge Keyboard","Teclado Logitech diNovo Edge"
"Magento","Magento"
"Main Website\nMain Store\nEnglish","Página principal\nTienda Principal\nInglés"
"Memory","Memoria"
"Method Code","Código del método"
"Method Name","Nombre del método"
"Middle Name","Segundo nombre"
"Middle Name/Initial","Segundo nombre/Inicial"
"Mrs.","Sra."
"Negative Adjustment","Ajuste negativo"
"Negative Adjustment Amount","Cantidad de ajuste negativo"
"New Printed Template","Nueva plantilla impresa"
"New Template","Nueva Plantilla"
"Nine West Women's Lucero Pump","Zapato de salón de mujer Lucero de Nine West"
"Nine West Women\'s Lucero Pump","Zapato de salón de mujer Lucero de Nine West"
"No Templates Found","Plantillas no encontradas"
"Number","Número"
"Option","Opción"
"Order","Pedido"
"Order Currency Code","Código de la moneda de pedido"
"PDF Print-outs","Impresiones de PDF"
"PDF aggregator hasn't been found.","No se ha encontrado el agregador de PDF."
"PDF renderer adapter hasn't been found.","No se ha encontrado el adaptador de procesador de PDF."
"Page Number","Número de página"
"Page Orientation","Orientación de la página"
"Page Size","Tamaño de la página"
"Pages Quantity","Cantidad de páginas"
"Payment Information","Información de Pago"
"Please select entities to print.","Seleccione las entidades para imprimir."
"Please select orders to print.","Seleccione los pedidos para imprimir."
"Position","Posición"
"Positive Adjustment","Ajuste positivo"
"Positive Adjustment Amount","Importe de ajuste positivo"
"Prefix","Prefijo"
"Preview HTML","Vista previa de HTML"
"Preview PDF","Vista previa de PDF"
"Price","Precio"
