"%s (Default Template from Locale)","%s (Standaard sjabloon van Lokale)"
"22 Sycamore Fork Road","22 Sycamore Vork Weg"
"Action","Actie"
"Add Column","Voeg Kolom Toe"
"Add New Template","Nieuw Sjabloon Toevoegen"
"Add after","Voeg toe na"
"Amount","Aantal"
"Applied Coupon Code","Toegepaste Coupon Code"
"Are you sure that you want to delete this template?","Weet je zeker dat je dit sjabloon wilt verwijderen?"
"Back","Terug"
"Balance Amount","Balans Bedrag"
"Billing Address","Facturatieadres"
"Birthdate","Geboortedatum"
"Bold","Vet"
"Bundle product dynamic price","Bundel product dynamische prijs"
"Bundle product fixed price","Bundel product vaste prijs"
"Canceled Discount Amount","Geannuleerd Korting Bedrag"
"Canceled Shipping Amount","Geannuleerd Verzending Bedrag"
"Canceled Subtotal Amount Without Tax","Geannuleerd Subtotaal Bedrag Zonder Belasting"
"Canceled Tax Amount","Geannuleerd Belasting Bedrag"
"Cannot create mock-up data for preview.","Kan geen prototype data voor voorvertoning maken."
"Cannot generate PDF.","Kan PDF niet genereren."
"Cannot load %s entity #%s; please reload page and try again.","Kan %s entiteit #%s niet laden; gelieve de pagina te vernieuwen en het nogmaals te proberen."
"Cannot load %s entity; please reload page and try again.","Kan %s entiteit niet laten; gelieve de pagina te vernieuwen en het nogmaals te proberen."
"Cannot load converter for %s model.","Kan conversieprogramma voor %s model niet laden."
"City","Stad"
"Code","Code"
"Columns","Kolommen"
"Columns' Labels","Kolommen Etiketten"
"Company","Bedrijf"
"Configuration settings where current template is selected will be set to default values.","Configuratie instellingen waar huidig sjabloon is geselecteerd zullen worden gezet naar standaard waarden."
"Continue","Doorgaan"
"Coral Springs, FL","Coral Springs, FL"
"Country","Land"
"Creation Date","Creatie Datum"
"Credit Memo","Kredietnota"
"Crucial 1GB PC4200 DDR2 533MHz Memory","Cruciaal 1GB PC4200 DDR2 533MHz Geheugen"
"Crucial 2GB PC4200 DDR2 533MHz Memory","Cruciaal 2GB PC4200 DDR2 533MHz Geheugen"
"Customer","Klant"
"Customer Balance Amount","Klant Balans Hoeveelheid"
"Date Added","Datum Toegevoegd"
"Date Updated","Bijgewerkt op datum"
"Default Template from Locale","Standaardsjabloon van locale"
"Delete","Verwijderen"
"Delete Template","Verwijder Template"
"Discount","Korting"
"Discount Amount","Hoeveelheid Korting"
"Discount Description","Korting Beschrijving"
"Discount Excluding Tax","Korting Exclusief Belasting"
"Discount Including & Excluding Tax","Korting Inclusief & Exclusief Belasting"
"Discount Including Tax","Korting Inclusief Belasting"
"Discount Rate","Kortingstarief"
"Display Discount Taxes","Toon Korting Belastingen"
