"KG","Kilogramm (kg)"
"LBS","Pfund (lbs)"
"G","Gramm (g)"
"MG","Milligramm (mg)"
"L","Liter"
"ML","Milliliter (ml)"
"M","Meter (m)"
"IN","Zoll"
"CM","Zentimeter (cm)"
"MM","Milimeter (mm)"
"PCS","Stück (Stck.)"
"KG short","kg"
"LBS short","Pfd."
"G short","g"
"MG short","mg"
"L short","l"
"ML short","ml"
"M short","m"
"IN short","Zoll"
"CM short","cm"
"MM short","mm"
"PCS short","Stck."
"Automatically append the base price block to the price on the product view","Den Grundpreis-Block automatisch auf den Preis auf der Produktansicht anfügen"
"Base Price","Grundpreis"
"Calculate the base price based on the product price including tax","Den Grundpreis auf der Basis des Produktpreises einschließlich Mehrwertsteuer berechnen"
"Conversion rate not found for %s to %s","Konvertierungsrate für %s zu %s nicht gefunden"
"Frontend Label","Frontend-Label"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","Die Standard-Verpackungseinheit für den Grundpreis auf Produkte verwenden (auch auf Produktebene einstellbar)"
"The default reference amount for the reference unit (can be set on a product level, too)","Der Standard-Bezugsrahmen für die Referenzeinheit (auch auf Produktebene einstellbar)"
"The default reference unit for the base price (can be set on a product level, too)","Die Standard-Referenzeinheit für den Grundpreis (auch auf Produktebene einstellbar)"
"What the customer sees","Was der Kunde sieht"
"Reference unit not set","Referenzeinheit nicht eingestellt"
"The product unit amount must be greater than zero","Der Betrag der Produkteinheit muss größer als Null sein"
"Flat Catalog Product was rebuilt successfully after baseprice installation","Flat-Katalogprodukt wurde nach Grundpreis-Installation erfolgreich wieder erstellt"
"Error rebuilding flat product catalog:","Fehler beim Wiederaufbau des Flat-Produktkatalogs:"
"The product settings were not saved","Die Produkteinstellungen wurden nicht gespeichert"
"Enable","Aktivieren"
"Measurement to be used for the base product","Maßeinheit für das Grundprodukt"
"Measurement to be used for the unit product","Maßeinheit für die Produkteinheit"
"Volume/size of the unit product","Volumen/Größe für die Produkteinheit"
"Display the unit product's price on the product page in the frontend","Den Preis je Produkteinheit auf der Produktseite im Frontend anzeigen"
"Validation failed","Bestätigung fehlgeschlagen"
"Frontend Label","Frontend-Label"
"Calculate the unit product's price based on the base product's price, including tax","Den Produktpreis einer Einheit auf Grundlage des Basis-Produktpreises, inklusive Steuern berechnen"
