"KG","Kilogramo (kg)"
"LBS","Libra"
"G","Gramo (g)"
"MG","Miligramo (mg)"
"L","Litro"
"ML","Mililitro (ml)"
"M","Metro (m)"
"IN","Pulgada"
"CM","Centímetro (cm)"
"MM","Milímetro (mm)"
"PCS","Pieza"
"KG short","Kg"
"LBS short","Libras"
"G short","Gr"
"MG short","Mg"
"L short","L"
"ML short","Ml"
"M short","M"
"IN short","Zoll"
"CM short","Cm"
"MM short","Mm"
"PCS short","Pieza"
"Automatically append the base price block to the price on the product view","Incluir automáticamente el bloque de precio base para el precio en la vista del producto"
"Base Price","Precio base"
"Calculate the base price based on the product price including tax","Calcular el precio base, basado en el precio del producto incluyendo impuestos"
"Conversion rate not found for %s to %s","Tasa de conversión de %s a %s no encontrada"
"Frontend Label","Etiqueta frontal"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","La unidad de embalaje por defecto para usar en el precio base de los productos (se puede establecer a nivel de producto, también)"
"The default reference amount for the reference unit (can be set on a product level, too)","El importe de referencia por defecto para la unidad de referencia (se puede establecer a nivel de producto, también)"
"The default reference unit for the base price (can be set on a product level, too)","La unidad de referencia por defecto para el precio base (se puede establecer a nivel de producto, también)"
"What the customer sees","Lo que el cliente ve"
"Reference unit not set","Unidad de referencia no establecida"
"The product unit amount must be greater than zero","La cantidad de unidades de producto debe ser mayor que cero"
"Flat Catalog Product was rebuilt successfully after baseprice installation","El Catálogo de Productos fue reconstruido con éxito tras la fijación del precio base"
"Error rebuilding flat product catalog:","Error al reconstruir el catálogo de productos:"
"The product settings were not saved","La configuración del producto no se ha guardado"
"Enable","Activar"
"Measurement to be used for the base product","Medida a utilizar como base del producto"
"Measurement to be used for the unit product","Medida a utilizar como unidad de producto"
"Volume/size of the unit product","Volúmen/tamaño de la unidad de producto"
"Display the unit product's price on the product page in the frontend","Mostrar el precio de la unidad de producto en la parte frontal de la página del producto"
"Validation failed","Ha habido un error al validar"
"Frontend Label","Etiqueta en la parte frontal"
"Calculate the unit product's price based on the base product's price, including tax","Calcula la unidad del precio del producto basado en el precio del producto base, incluyendo impuestos"
