"KG","Kilogramme (kg)"
"LBS","Livre (lb)"
"G","Gramme (g)"
"MG","Milligramme (mg)"
"L","Litre"
"ML","Millilitre (ml)"
"M","Mètre (m)"
"IN","Pouce"
"CM","Centimètre (cm)"
"MM","Millimètre (mm)"
"PCS","Pièce (pc)"
"KG short","Kg"
"LBS short","Lb"
"G short","g"
"MG short","mg"
"L short","L"
"ML short","km"
"M short","m"
"IN short","Zoll"
"CM short","cm"
"MM short","mm"
"PCS short","pc"
"Automatically append the base price block to the price on the product view","Ajouter automatiquement le bloc des prix de base pour le prix sur la perception du produit"
"Base Price","Prix de base"
"Calculate the base price based on the product price including tax","Calculer le prix de base fondée sur le prix du produit, y compris l'impôt"
"Conversion rate not found for %s to %s","Le taux de conversion ne trouve pas de %s à %s"
"Frontend Label","Étiquette de devant"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","L'unité d'emballage à utiliser par défaut sur ​​des produits pour le prix de base (peut être réglé sur un niveau de produit, aussi)"
"The default reference amount for the reference unit (can be set on a product level, too)","Le montant de référence par défaut pour l'unité de référence (peut être réglé sur un niveau de produit, aussi)"
"The default reference unit for the base price (can be set on a product level, too)","L'unité de référence par défaut pour le prix de base (peut être réglé sur un niveau de produit, aussi)"
"What the customer sees","Ce que le client voit"
"Reference unit not set","L'unité de référence n'est pas réglé"
"The product unit amount must be greater than zero","Le montant unitaire des produits doit être supérieur à zéro"
"Flat Catalog Product was rebuilt successfully after baseprice installation","Catalogue de produits plats a été reconstruit avec succès après l'installation de prix de base"
"Error rebuilding flat product catalog:","Erreur dans la reconstruction de catalogue de produit plat:"
"The product settings were not saved","Les réglages du produit n'ont pas été sauvegardés"
"Enable","Activer"
"Measurement to be used for the base product","Mesure à utiliser pour le produit de base"
"Measurement to be used for the unit product","Mesure à utiliser pour le produit unitaire"
"Volume/size of the unit product","Volume/taille du produit unité"
"Display the unit product's price on the product page in the frontend","Afficher le prix du produit de cette unité sur la page du produit dans le début"
"Validation failed","Échec de la validation"
"Frontend Label","Étiquette frontale"
"Calculate the unit product's price based on the base product's price, including tax","Calculer le prix unitaire du produit à partir du prix de base du produit, taxe comprise"
