"%1 items","%1"
"1 item","1"
"Regular Price:", "was"
"Shop By","Filter"
"Special Price:","Special Price:"
"Email","Email"
"Shopping Cart Items","Shopping Cart Items"
"Item","Item"
"Unit Price","Unit Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Update Shopping Cart","Update Shopping Cart"
"My Cart","My Cart"
"Items in Cart","Items in Cart"
"%1 items","%1 items"
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"Cart Subtotal","Cart Subtotal"
"Go to Checkout","Go to Checkout"
"Go to Shopping cart","Go to Shopping cart"
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Summary","Summary"
