"Keep your eyes open for our special Back to School items and save A LOT!","Tine-ti ochii deschisi dupa produsele noastre speciale pentru ""Inapoi la scoala"" si economiseste MULT!"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Serviciul nostru pentru clienti este valabil 24/7. Sunati-ne la  (800) NUMAR-DEMO."
"Thank You,","Va multumim,"
"Shipping Amount","Costul pentru livrare"
"Thank you very much!","Va multumim foarte mult!"
"Your new password is: %s","Parola ta noua este: %s"
"Tax Amount","Costul de taxare"
"Grand Total","Total complet"
"Magento Products Office","Oficiul de produse Magento"
"Discount","Rabatul"
"You can change your password at any time by logging into the ""My Account"" section.","Puteti schimba parola la orice data intrind in sectiunea ""Acontul meu"""
"New Password for %s","Noua parole pentru %s"
"Subtotal","Subtotal"
"Dear %s","Draga %s"
