"Keep your eyes open for our special Back to School items and save A LOT!","Обратите внимание на наше специальное предложение для товаров категории Назад в школу, получите скидку!"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Наша служба поддержки доступна 24 часа в сутки/7 дней в неделю. Наш телефонный номер (800) ДЕМО-НОМЕР."
"Thank You,","Спасибо,"
"Shipping Amount","Стоимость доставки"
"Thank you very much!","Большое спасибо!"
"Your new password is: %s","Ваш новый пароль: %s"
"Tax Amount","Налог"
"Grand Total","Всего"
"Magento Products Office","Интернет-магазин Мадженто"
"Discount","Скидка"
"You can change your password at any time by logging into the ""My Account"" section.","Вы можете изменить свой пароль в любой момент, зайдя в раздел ""Мои данные""."
"New Password for %s","Новый пароль для %s"
"Subtotal","Стоимость товара"
"Dear %s","Уважаемый %s"
