"Proceed to Checkout","Proceed to Checkout"
"Send to","Send to"
"Remove Item","Remove Item"
"Based on your selection, you may be interested in following items:","Based on your selection, you may be interested in following items:"
"Thank you for your purchase!","Thank you for your purchase!"
"State/Province","State/Province"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"Submitting order information...","Submitting order information..."
"Get a Quote","Get a Quote"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Fax","Fax"
"Loading next step...","Loading next step..."
"Edit Address","Edit Address"
"Company","Company"
"Apply Coupon","Apply Coupon"
"Billing Information","Billing Information"
"Change Billing Address","Change Billing Address"
"Shipping Method","Shipping Method"
"Already registered?","Already registered?"
"Subtotal","Subtotal"
"Register","Register"
"Continue to Billing Information","Continue to Billing Information"
"Your order # is: %s","Your order # is: %s"
"Select Shipping Method","Select Shipping Method"
"Update Shopping Cart","Update Shopping Cart"
"Select Address","Select Address"
"Telephone","Telephone"
"Shipping method was not selected yet","Shipping method was not selected yet"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"Confirm Password","Confirm Password"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Last added items","Last added items"
"Log in below to take advantage of Express Checkout:","Log in below to take advantage of Express Checkout:"
"Continue to Success","Continue to Success"
"Billing Address","Billing Address"
"Go to Cart","Go to Cart"
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your Checkout Progress","Your Checkout Progress"
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Shipping Information","&laquo; Back to Shipping Information"
"You may check out as a guest or register with us for future convenience:","You may check out as a guest or register with us for future convenience:"
"Continue Shopping","Continue Shopping"
"Place Order","Place Order"
"Zip/Postal Code","Zip/Postal Code"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Product Name","Product Name"
"Country","Country"
"Your order number is %s","Your order number is %s"
"* Required Fields","* Required Fields"
"Items","Items"
"Continue to Shipping Information","Continue to Shipping Information"
"Ship to this address","Ship to this address"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Remove Product","Remove Product"
"Last Name","Last Name"
"Back","Back"
"Change Payment Method","Change Payment Method"
"Grand Total:","Grand Total:"
"Shipping to","Shipping to"
"Address %s of %s","Address %s of %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"Change Shipping Method","Change Shipping Method"
"Shopping Cart","Shopping Cart"
"Forgot your password?","Forgot your password?"
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"My Account","My Account"
"Street Address","Street Address"
"Shipping Address","Shipping Address"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Continue to Overview","Continue to Overview"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Edit Your Cart","Edit Your Cart"
"You have no items in your cart.","You have no items in your cart."
"Easy access to your order history and status","Easy access to your order history and status"
"Register and save time!","Register and save time!"
"Fast and easy check out","Fast and easy check out"
"Use Billing Address","Use Billing Address"
"Shipping Information","Shipping Information"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Add to Wishlist","Add to Wishlist"
"My Cart - <a href=""%s"">%d item(s)</a>","My Cart - <a href=""%s"">%d item(s)</a>"
"Move to Wishlist","Move to Wishlist"
"Default Shipping","Default Shipping"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Qty","Qty"
"Review Order","Review Order"
"Enter your coupon code if you have the one.","Enter your coupon code if you have the one."
"Done","Done"
"Close","Close"
"City","City"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"First Name","First Name"
"Unit Price","Unit Price"
"Order Success","Order Success"
"Checkout","Checkout"
"Please select region, state or province","Please select region, state or province"
"Product","Product"
"Payment Method","Payment Method"
"Price","Price"
"Street Address 2","Street Address 2"
"Address","Address"
"Password","Password"
"Update Total","Update Total"
"Change Shipping Address","Change Shipping Address"
"Email Address","Email Address"
"Edit","Edit"
"Add to Cart","Add to Cart"
"Edit Items","Edit Items"
"Remove","Remove"
"Continue","Continue"
"Forgot an Item?","Forgot an Item?"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Login","Login"
"Add New Address","Add New Address"
"Default Billing","Default Billing"
"Enter a New Address","Enter a New Address"
"Checkout as Guest","Checkout as Guest"
"Discount Codes","Discount Codes"
"Select State/Province...","Select State/Province..."
"Continue to Review Your Order","Continue to Review Your Order"
"Your order has been received","Your order has been received"
