"Remove Item","Remove Item"
"Added On","Added On"
"Go to Wishlist","Go to Wishlist"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Share Wishlist","Share Wishlist"
"Product","Product"
"Last Added Items","Last Added Items"
"You have placed no product yet.","You have placed no product yet."
"Update Wishlist","Update Wishlist"
"* Required Fields","* Required Fields"
"Add to Cart","Add to Cart"
"You have no items in your wishlist.","You have no items in your wishlist."
"View Product","View Product"
"Comment","Comment"
"Add All to Cart","Add All to Cart"
"Add to Wishlist","Add to Wishlist"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Share Your Wishlist","Share Your Wishlist"
"Please, enter your comments...","Please, enter your comments..."
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist <span class=""count"">- <a href=""%s"">%d Item(s)</a></span>"
"My Wishlist","My Wishlist"
"Message","Message"
"Are You sure?","Are You sure?"
