"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Backorders","Backorders"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Inventory","Lager"
"Maximum Qty Allowed in Shopping Cart","Max-antal tilladt i indk𢳫urv"
"Minimum Qty Allowed in Shopping Cart","Min-antal tilladt i indk𢳫urv"
"Minimum Qty for Items' Status to be In Stock","Minimum Qty for Items' Status to be In Stock"
"No Backorders","No Backorders"
"Rule price","Prisregel"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Stock Options"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The requested quantity is not available.","The requested quantity is not available."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"Update the Product","Opdater produktet"
