To Fixed Value,Til fast værdi
Customer registered: %s,Kunde har konto: %s
Rule price,Prisregel
Customer is new buyer: %s,Kunde er ny køber: %s
By Fixed value,Med fast værdi
Update the Product,Opdater produktet
To Percentage,Til procent
Attribute Set,Sæt af egenskaber
Start at: %s,Starter ved: %s
By Percentage,Med procent
Expire at: %s,Udløber ved: %s
Name: %s,Navn: %s
Update product's %s %s: %s,Opdater produktets %s %s: %s
Product Attribute,Produktegenskab
Conditions Combination,Betingelses-kombination
Description: %s,Beskrivelse: %s
