Proceed to Checkout,Gå til betaling
Checkout method,Betalingsmetode
Please select shipping methods for all addresses,Vælg venligst leveringsform for hver adresse
Shipping Methods,Leveringsformer
Payment method is not defined,Betalingsform ikke valgt
State/Province,Amt/område
Please specify the product option(s),Angiv venligst produktmulighed(er)
Edit Shipping Address,Rediger leveringsadresse
Order Success,Ordrekvittering
Create Billing Address,Opret betalingsadresse
Checkout,Til betaling
Invalid data,Ugyldig data
Edit Address,Rediger adresse
Order Review,Godkend ordre
Billing Information,Betalingsoplysninger
Place Order,Gennemfør ordre
Change Billing Address,Skift betalingsadresse
Select Addresses,Vælg adresser
Shipping Method,Leveringsform
Indefinite product type,Produkttypen kunne ikke genkendes
Cannot remove item,Produktet kunne ikke fjernes
Total for this address,Total for denne adresse
Product does not exist,Produktet eksisterer ikke
Country,Land
Clear,Tøm
Shipping Information,Levering - detaljer
Create Shipping Address,Opret leveringsadresse
Edit Billing Address,Rediger betalingsadresse
Some of the products you requested are not available in the desired quantity,Nogle af de produkter du forespørger er ikke tilgængelige i det ønskede antal
Some of the products you requested are unavailable,Nogle af de produkter du forespørger er ikke på lager
My Cart (%d item),Min indkøbskurv (%d vare)
Cannot update shopping cart,Indkøbskurv kan ikke opdateres
Checkout with Multiple Addresses,Betaling med flere adresser
Ship to Multiple Addresses,Levering til flere adresser
My Cart,Min indkøbskurv
Review Order,Godkend ordre
The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).,De markerede varer er ikke tilgængelige i det bestilte antal. Opdater venligst det bestilte antal.
This product is out of stock,Denne vare er ikke på lager
Payment Information,Betaling - detaljer
Requested quantity is not available,Det forespurgte antal er ikke tilgængeligt
Cannot move item to wishlist,Kunne ikke sætte varen på ønskesedlen
My Cart (%d items),Min indkøbskurv (%d varer)
There is already a customer registered using this email address,Der findes allerede en kunde med den e-mailadresse
Send to,Send til
Remove Item,Fjern vare
"Based on your selection, you may be interested in the following items:",Baseret på indholdet af din kurv vil du måske også være interesseret i følgende varer:
Thank you for your purchase!,Vi takker for dit køb!
&laquo; Back to Select Addresses,&laquo; Tilbage til 'Vælg adresser'
Submitting order information...,Gennemfører ordre...
