"(eg: domain.com/identifier)","(eks: minshop.dk/sti)"
"Action","Handling"
"Add New Block","Tilføj ny blok"
"Add New Page","Tilføj ny side"
"All countries","Alle lande"
"Block Information","Blok - detaljer"
"Block Title","Navn"
"Block was successfully deleted","Block was successfully deleted"
"Block was successfully saved","Blokken er gemt"
"CMS","CMS"
"CMS Blocks","Statiske blokke"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS Pages","Sider"
"Content","Indhold"
"Customer Tax Class Information","Gruppe - detaljer"
"Date Created","Oprettet den"
"Delete Block","Slet blok"
"Delete Page","Slet side"
"Description","Beskrivelse"
"Disabled","Inaktiv"
"Edit Block","Rediger blok"
"Edit Block '%s'","Rediger blok: %s"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side: %s"
"Enabled","Aktiv"
"General Information","Indhold"
"Go to Home Page","G塴il forsiden"
"Home","Forside"
"Identifier","Identifikator"
"Keywords","Nøgleord"
"Last Modified","Sidst redigeret"
"Layout","Opsætning"
"Layout Update XML","Layoutopdaterings-XML"
"Manage Blocks","Statiske blokke"
"Manage Pages","Sider"
"Meta Data","Metadata"
"Meta Description","Beskrivelse"
"Meta Keywords","Nøgleord (metadata)"
"New Block","Ny blok"
"New Page","Ny side"
"Page Identifier for specified store","Sideidentifikator for valgte forretning"
"Page Information","Side - detaljer"
"Page Status","Sidestatus"
"Page Title","Overskrift"
"Page was successfully deleted","Siden er slettet"
"Page was successfully saved","Siden er gemt"
"Poll Manager","Afstemninger"
"Preview","Vis"
"Product Tax Class Information","Gruppe - detaljer"
"SEF URL Identifier","SEF URL sti"
"Save Block","Gem blok"
"Save Page","Gem side"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Statiske blokke"
"Status","Status"
"Store View","Store View"
"Such a block identifier in selected store","Blokidentifikator i valgte forretning"
"The page you are trying to save no longer exists","Siden du forsøger at gemme eksisterer ikke længere"
"This block no longer exists","Denne blok eksisterer ikke længere"
"This page no longer exists","Siden eksisterer ikke længere"
"Title","Titel"
"Unable to find a block to delete","Systemet kunne ikke finde blokken, som skulle slettes"
"Unable to find a page to delete","Systemet kunne ikke finde nogen sider"
