"",""
"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"Advanced","Advanced"
"All","Alle"
"Allow countries","Allow countries"
"Allowed Currencies","Allowed Currencies"
"Are you sure?","Er du sikker?"
"Back","Tilbage"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Base directory","Base directory"
"Block with name ""%s"" already exists","Fejl: Blok med navnet ""%s"" eksisterer allerede"
"Can't retrieve request object","Fejl: Kan ikke indlæse objektet"
"Can\'t retrieve entity config for entity: %s of model: %s","Fejl: Kan ikke indlæse konfiguration for: %s fra modellen: %s"
"Cancel","Annuller"
"Cannot Delete Email Template","Kan ikke slette e-mailskabelon"
"Code","Kode"
"Code pools root directory","Code pools root directory"
"Controller file was loaded but class does not exist","Filen (controller file) blev indl紴, men klassen findes ikke"
"Cookie Lifetime","Cookie Lifetime"
"Countries options","Countries options"
"Create Store","Create Store"
"Create Store View","Create Store View"
"Create Website","Create Website"
"Currency","Valuta"
"Current package name","Current package name"
"Custom Design","Custom Design"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Customer support"
"Database was successfuly backed up.","Database was successfuly backed up."
"Date From","Date From"
"Date To","Date To"
"Debug","Debug"
"Default","Default"
"Default Store","Standardshop"
"Default Store View","Default Store View"
"Default URLs","Default URLs"
"Default country","Default country"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","Slet"
"Delete Store","Slet forretning"
"Delete Store View","Delete Store View"
"Delete Website","Slet website"
"Design","Design"
"Design Change","Design Change"
"Developer","Developer"
"Disable modules output","Disable modules output"
"Duplicate Of Template Code","Fejl: Skabelonkode findes allerede"
"Edit Design Change","Edit Design Change"
"Edit Store","Rediger forretning"
"Edit Store View","Edit Store View"
"Edit Website","Rediger website"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Fejl: Navn på hovedtabel må ikke være tomt"
"Error in file: ""%s"" - %s","Fejl i filen: ""%s"" - %s"
"Error while saving. Please try again later.","Error while saving. Please try again later."
"Filesystem","Filesystem"
"General","Generelt"
"General Settings","General Settings"
"General contact","General contact"
"Host","Vært (host)"
"Id path for specified store","Id path for specified store"
"Invalid base dir type specified: %s","Fejl: Ugyldig type for basis-folder: %s"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Fejl: Ugyldigt bloknavn %s: %s"
"Invalid block type: %s","Ugyldig bloktype: %s"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Fejl: Ugyldigt parameter for layout-opdatering (i Mage_Core_Model_Layout_Element)"
"Invalid layout update handle","Ugyldig layout-opdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Fejl: Ugyldigt lager ""%s"" angivet for initialisering af layout-beskeder"
"Invalid transactional email code","Fejl: Ugyldig kode for e-mail"
"Invalid websites configuration path: %s","Fejl: Ugyldig sti ftil websites-konfiguration: %s"
"Layout","Opsætning"
"Locale","Sprog"
"Locale Settings","Locale Settings"
"Locale options","Locale options"
"Manage Stores","Manage Stores"
"Media files directory","Media files directory"
"Model class does not exist: %s","Fejl: Model-klassen: %s eksisterer ikke."
"Model collection resource name is not defined","Model collection resource name is not defined"
"Name","Navn"
"New Design Change","New Design Change"
"New Store","Ny forretning"
"New Store View","New Store View"
"New Website","Nyt website"
"Package","Package"
"Please enter 6 or more characters.","Indtast venligst 6 eller flere karakterer."
"Please enter a number greater than 0 in this field.","Indtast venligst et heltal st𲲥 end 0 i dette felt."
"Please enter a valid $ amount. For example $100.00.","Indtast venligst et gyldigt $-bel𢮠Eks. $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Indtast venligst en gyldig URL. Eks. http://www.mitsite.dk eller www.mitsite.dk"
"Please enter a valid URL. http:// is required","Indtast venligst en gyldig URL. http:// skal v糥 med."
"Please enter a valid credit card number.","Indtast venligst et gyldigt kreditkortnummer."
"Please enter a valid date.","Indtast venligst en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Indtast venligst en gyldig e-mail-adresse. Eks. johndoe@mitsite.dk."
"Please enter a valid number in this field.","Indtast venligst et gyldigt heltal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer. Eks. (+45) 90 90 90 90 eller 90909090."
"Please enter a valid social security number. For example 123-45-6789.","Indtast venligst et gyldigt CPR-nummer. Eks. 01011970-2929."
"Please enter a valid zip code.","Indtast venligst et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer. Eks. 8000."
"Please enter valid password.","Indtast venligst et gyldigt kodeord."
"Please make sure your passwords match.","Dine kodeord skal v糥 ens."
"Please select State/Province.","V筧 venligst region."
"Please select an option.","V筧 venligst en mulighed."
"Please select one of the above options.","V筧 venligst en af mulighederne ovenfor."
"Please select one of the options.","V筧 venligst en af mulighederne."
"Please use letters only (a-z) in this field.","Brug kun a-z"" i dette felt."""
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Brug kun heltal i dette felt (ingen mellemrum, komma eller punktum)."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver (a-z) eller heltal (0-9) i dette felt (ingen mellemrum, komma eller punktum)."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver (a-z) eller heltal (0-9) eller mellemrum og # i dette felt."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug kun bogstaver (a-z) eller heltal (0-9) eller underscore (_) i dette felt., f𲳴e karakter skal v糥 et bogstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst f𬧥nde datoformat: dd/mm/榥宠Eks. 17/03/2006 for d. 17. Marts, 2006."
"Please wait, loading...","Vent venligst, henter data..."
"Port (25)","Port (25)"
"Profiler","Profiler"
"Request path for specified store","Request path for specified store"
"Resource is not set","Fejl: Ressourcen er ikke defineret"
"Root Category","Root Category"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sales representative","Sales representative"
"Save","Gem"
"Save Store","Gem forretning"
"Save Store View","Save Store View"
"Save Website","Gem website"
"Search Engines Optimization","Search Engines Optimization"
"Secure","Secure"
"Sender email","Sender email"
"Sender name","Sender name"
"Session Cookie management","Session Cookie management"
"Session files directory","Session files directory"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Skin directory","Skin directory"
"Sort order","Sorteringsr笫ef𬧥"
"Start date can\'t be greater than end date","Start date can\'t be greater than end date"
"Status","Status"
"Store","Forretning"
"Store Email Addresses","Store Email Addresses"
"Store Information","Forretning - detaljer"
"Store Name","Navn på shop"
"Store View Information","Store View Information"
"Store View Name","Store View Name"
"Store View not exists","Store View not exists"
"Store View was successfully deleted.","Store View was successfully deleted."
"Store View was successfully saved","Store View was successfully saved"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Store not exists","Store not exists"
"Store was successfully deleted.","Store was successfully deleted."
"Store was successfully saved","Forretning er gemt"
"Store with the same code","Store with the same code"
"Stores","Forretning"
"System","System"
"Template Path Hints","Template Path Hints"
"Templates","Templates"
"Themes","Themes"
"This Store View cannot be deleted","This Store View cannot be deleted"
"This Store View cannot be deleted.","This Store View cannot be deleted."
"This Store cannot be deleted","This Store cannot be deleted"
"This Store cannot be deleted.","This Store cannot be deleted."
"This Website cannot be deleted","This Website cannot be deleted"
"This Website cannot be deleted.","This Website cannot be deleted."
"This category and its child categories","This category and its child categories"
"This category and its products","This category and its products"
"This category only","This category only"
"This is a required field.","Dette felt skal udfyldes."
"Timezone","Timezone"
"Translations","Overs絴elser"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Unable to delete Store View. Please, try again later.","Unable to delete Store View. Please, try again later."
"Unable to delete Store. Please, try again later.","Unable to delete Store. Please, try again later."
"Unable to delete Website. Please, try again later.","Unable to delete Website. Please, try again later."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","Unsecure"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Var (temporary files) directory","Var (temporary files) directory"
"Web","Web"
"Website","Website"
"Website Information","Website Information"
"Website Name","Website navn"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website not exists","Website not exists"
"Website was successfully deleted.","Website was successfully deleted."
"Website was successfully saved","Sitet blev gemt"
"Website with the same code","Website with the same code"
"Wrong number of arguments for %s","Fejl: Forkert antal parametre angivet for %s"
"Your session has been expired, you will be relogged in now.","Your session has been expired, you will be relogged in now."
