"Allowed currencies","Allowed currencies"
"Base currency","Valuta (system)"
"Cannot retrieve rate from %s","Kan ikke hente kurs fra %s"
"Continue &raquo;","Fortsæt &raquo;"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Valuta"
"Currency Options","Currency Options"
"Currency Setup","Currency Setup"
"Default display currency","Default display currency"
"Enabled","Aktiv"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Import Settings","Import Settings"
"Invalid Import Service Specified","Ugyldig import-service"
"Invalid country code: %s","Ugyldig landekode: %s"
"Invalid rates received","Ugyldige kurser blev modtaget"
"Invalid target currency","Invalid target currency"
"Select Your Currency","Vælg valuta"
"Service","Service"
"Start Time","Start Time"
"State/Province","Region"
"Unable to initialize import model","Import-model kunne ikke initialiseres"
"Undefined rate from ""%s-%s""","Udefineret kurs fra ""%s-%s"""
"WARNING:","WARNING:"
"Your current currency is: %s","Valuta: %s"
