"* Required Fields","* Skal udfyldes"
"Add","Tilføj"
"Add Gift Message","Add Gift Message"
"Allow Gift Messages","Allow Gift Messages"
"Are you sure?","Er du sikker?"
"Cancel","Annuller"
"Check this checkbox if you want to add gift messages to your items.","Check this checkbox if you want to add gift messages to your items."
"Check this checkbox if you want to add gift messages.","Check this checkbox if you want to add gift messages."
"Close","Luk"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Rediger"
"Edit Gift Message","Edit Gift Message"
"Enter a gift message for each item in your order.","Enter a gift message for each item in your order."
"Enter a gift message for entire order.","Enter a gift message for entire order."
"Enter a gift message for this address.","Enter a gift message for this address."
"Error while saving gift message","Error while saving gift message"
"From","Fra"
"Gift Message","Besked p塧ave"
"Gift Messages","Gift Messages"
"Gift message has been successfully saved","Gift message has been successfully saved"
"Item %d of %d","Item %d of %d"
"Message","Besked"
"No","Nej"
"Remove","Fjern"
"Save","Gem"
"Save Gift Message","Save Gift Message"
"To","Til"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Ja"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","You can leave a box blank if you don\'t wish to add a gift message for the item."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","You can leave a box blank if you don\'t wish to add a gift message for this address."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","You can leave a box blank if you don\'t wish to add a gift message for whole order."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Your gift message successfully removed","Din beksed p塧ave er fjernet."
"Your gift message successfully saved","Din besked p塧ave er gemt."
