"(Make sure you keep it in a safe place.)","(Gem den et sikkert sted.)"
"(Optional. Leave blank for no prefix)","(Optional. Leave blank for no prefix)"
"(ver. %s)","(ver. %s)"
"After successfull installation please click the button below.","After successfull installation please click the button below."
"All packages were installed successfully, click 'Ok' to continue with installation","All packages were installed successfully, click 'Ok' to continue with installation"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Nedskriv venligst din krypteringsnøgle, før du går til din forretning (Magento bruger nøglen til at kryptere kodeord, kreditkort osv.)"
"Check out our","Tjek vores"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Choose this if you would like to test frontend and backend functionality.","Choose this if you would like to test frontend and backend functionality."
"Configuration","Konfiguration"
"Confirm Password","Bekræft kodeord"
"Connection","Forbindelse"
"Continue","Fortsæt"
"Continue After Manual Download","Continue After Manual Download"
"Continue SVN Installation","Continue SVN Installation"
"Create Admin Account","Opret administrator-konto"
"Currently this is the most stable state available for Magento packages.","Currently this is the most stable state available for Magento packages."
"Database Connection","Database-forbindelse"
"Database Name","Navn på database"
"Database connection error","Fejl i forbindelse til database"
"Database host","Database-vært (host)"
"Database user name","Database-brugernavn"
"Database user password","Database-kodeord"
"Default Currency","Standard valuta"
"Download Magento Core Modules and Updates","Download Magento Core Modules and Updates"
"Downloading and installing Magento, please wait...","Downloading and installing Magento, please wait..."
"Email","E-mail"
"Email Address","E-mailadresse"
"Enable this option only if you have SSL available.","Enable this option only if you have SSL available."
"Encryption Key","Krypteringsnøgle"
"First Name","Fornavn"
"Get ready to experience Open-Source eCommerce Evolved.","Gør dig klar til at opleve næste generation af open-source e-handel."
"Go to Backend","Gå til backend"
"Go to Frontend","Gå til frontend"
"Having trouble installing Magento?","Problemer med installationen af Magento?"
"Help Us to Keep Magento Healthy","Hj筰 os med "
"Host","Vært (host)"
"I agree to the above terms and conditions","Jeg accepterer ovenstående termer og betingelser"
"If you are a developer and would like to have the latest public updates, choose this option.","If you are a developer and would like to have the latest public updates, choose this option."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation."
"If you have installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","If you have installed Magento through SVN, you should skip packages installation and validation by clicking the button below."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files."
"If your server is running on MS Windows, most probably you will not need to change anything.","If your server is running on MS Windows, most probably you will not need to change anything."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In other cases you will need to make Magento files writeable for the user that the web server process is running under."
"Installation","Installation"
"Installation Guide","Installationsguide"
"Last Name","Efternavn"
"Locale","Sprog"
"Locale settings","Sprogindstillinger"
"Localization","Sprog"
"Login Information","Log ind-information"
"Magento","Magento"
"Magento Installation Wizard","Magento - Installation (Wizard)"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page."
"Manual Downloads and Upgrades","Manual Downloads and Upgrades"
"One from PHP Extensions ""%s"" must be loaded","En PHP udvidelse ""%s"" skal være installeret"
"PHP Extension ""%s"" must be loaded","PHP udvidelse""%s"" skal være installeret"
"PHP Extension '%s' loaded","PHP udvidelse '%s' installeret"
"Package Management through the Web","Package Management through the Web"
"Password","Kodeord"
"Password Confirmation","Bekræft kodeord"
"Path ""%s"" must be writable","Stien ""%s"" skal være læsbar"
"Personal Information","Personlig information"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration."
"Please note that it is much less stable than beta.","Please note that it is much less stable than beta."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option."
"Please set all required settings before clicking Continue","Tag venligst stilling til alle obligatoriske indstillinger inden du klikker 'Fortsæt'"
"Preferred stability: %s","Preferred stability: %s"
"Proceed With Automatic Download (%s)","Proceed With Automatic Download (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Provide a complete base URL for SSL connection. For example: %s"
"Report All Bugs","Indrapporter fejl"
"Required Fields","Skal udfyldes"
"Run admin interface with SSL","Run admin interface with SSL"
"Run this in your shell from Magento root folder:","Run this in your shell from Magento root folder:"
"SVN Installation","SVN Installation"
"Secure Base URL","Secure Base URL"
"Setting preferred state to: %s","Setting preferred state to: %s"
"Skip Secure URL validation before next step","Skip Secure URL validation before next step"
"Tables Prefix","Tables Prefix"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","There was a problem installing Magento packages. Please read the log, correct errors and retry again."
"This Url is invalid","Url er ugyldig"
"Time Zone","Tidszone"
"Url ""%s"" is invalid","Url ""%s"" er ugyldig"
"Url ""%s"" is not accessible","Url ""%s"" er ikke tilgængelig"
"Use Secure URLs (SSL)","Use Secure URLs (SSL)"
"Use Web Server (Apache) Rewrites","Use Web Server (Apache) Rewrites"
"User Name","Brugernavn"
"User Password","Brugers kodeord"
"Username","Brugernavn"
"Web access options","Web access options"
"Welcome to Magento's Installation Wizard","Velkommen til Magentos installationsguide"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Du kan skrive serverens port, eks.: localhost:3307<br/>Hvis du ikke bruger standard UNIX socket, s填an du specificere det her i stedet for host, eks.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","You could enable this option to use web server rewrites functionality for improved search engines optimization."
"You're All Set","Du er nu klar!"
