"%s Item(s)","%s vare(r)"
"(ver. %s)","(ver. %s)"
"Close Window","Luk vindue"
"Copyright","Copyright"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Footer","Footer"
"HTML Head","HTML Head"
"Header","Header"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Interface Language","Sprog"
"Items %s to %s of %s total","Varer <strong>%s</strong> fra <strong>%s</strong> til <strong>%s</strong> total"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento Commerce Demo Store","Magento Demoshop"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Next Page","Næste side"
"Page:","Side:"
"Previous Page","Forrige side"
"Report All Bugs","Indrapporter alle fejl"
"Select Store","Vælg shop"
"Show","Vis"
"Skip to Main Content","Gå til hovedside"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Welcome Text","Welcome Text"
"Welcome, %s!","Velkommen, %s!"
"You're currently on:","Her er du:"
"Your Language","Your Language"
"per page","pr. side"
