"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Tilføj ny karakter"
"Assigned Options","Tildelte muligheder"
"Be the first to review this product","Vær den første der bedømmer dette produkt"
"Default Value","Default Value"
"Delete Rating","Slet karakter"
"Edit Rating","Rediger karakter: %s"
"ID","ID"
"If you do not specify an rating title for a store then the default value will be used.","If you do not specify an rating title for a store then the default value will be used."
"New Rating","Ny karakter"
"Option Label","Label"
"Option Title","Titel"
"Option Title:","Titel:"
"Please select one of each ratings above","V筧 venligst en af bed𭭥lserne ovenfor."
"Rating Information","Karakter - detaljer"
"Rating Name","Navn"
"Rating Options","Indstillinger for karakter"
"Rating Title","Navn"
"Rating Visibility","Synlighed - bed𭭥lse:"
"Rating isn't Available","For at give karakterer, skal du først vælge forretninger under ""Synlig i"""
"Rating with the same title","Bedømmelse med samme overskrift"
"Ratings","Bed𭭥lser"
"Save Rating","Gem karakter"
"Visible In","Synlig i"
