"%d Review(s)","%d bedømmelse(r)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Indsendt den %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"<a href=""%1$s"" target=""_blank"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" target=""_blank"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add Items to Cart","Læg i indkøbskurv"
"Add New Review","Tilføj bedømmelse"
"Add Your Review","Tilføj din bedømmelse"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Tilføj til ønskeseddel"
"Are you sure you want to do this?","Er du sikker på, at du ønsker at udføre denne handling?"
"Are you sure?","Er du sikker?"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Status: Ikke på lager."
"Average Customer Rating","Gennemsnitskarakter"
"Average Customer Rating:","Gennemsnitskarakter:"
"Back","Tilbage"
"Back to Main Product Info","Tilbage til produktside"
"Back to My Reviews","Tilbage til Mine bedømmelser"
"Back to Product Reviews","Tilbage til bedømmelser"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Buy %s for %s","Køb %s for <strong>%s</strong>"
"Created On","Oprettet den"
"Customer","Kunde"
"Customer Reviews","Bedømmelser"
"Delete","Slet"
"Delete Review","Slet bedømmelse"
"Detailed Rating","Karakterer"
"Edit Review '%s'","Rediger bedømmelse '%s'"
"Guest","Gæst"
"How do you rate this product?","Giv produktet karakterer"
"ID","ID"
"My Product Reviews","Mine bedømmelser"
"My Recent Reviews","Mine seneste bedømmelser"
"Name","Navn"
"Name In Store","Navn i forretning"
"New Review","Ny bedømmelse"
"Nickname","Alias"
"OR","Eller"
"Please select a product","Vælg venligst et produkt"
"Please select one of each of the ratings above","Giv venligst din karakter til alle områder ovenfor"
"Posted By","Skrevet af"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Karakterer"
"Product Rating:","Produktkarakter:"
"Product Review (submitted on %s):","<strong>Bedømmelse</strong> (indsendt den %s):"
"Product Reviews","Bedømmelser"
"Product SKU","SKU"
"Qty","Antal"
"Rating:","Karakter:"
"Review","Bedømmelse"
"Review Details","Bedømmelse"
"Review by %s","Bedømt af <em>%s</em>"
"Reviews","Bedømmelser"
"SKU","SKU"
"Save Review","Gem bedømmelse"
"Set visible in","Set visible in"
"Status","Status"
"Store Views","Store Views"
"Store(s)","Store(s)"
"Submit Review","Indsend bedømmelse"
"Summary Rating","Gennemsnitskarakter"
"Summary of Review","Overskrift"
"Summary of Your Review","Overskrift"
"Summary of review","Overskrift"
"Title","Titel"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","Vis alle"
"View Details","Se detaljer"
"Visible In","Synlig i"
"Visible Ins","Visible Ins"
"Write Your Own Review","Indsend din bedømmelse"
"You have submitted no reviews.","Du har ikke indsent nogen bedømmelser endnu."
"You're reviewing: %s","Du bedømmer: <span class=""normal-weight"">%s</span>"
"Your Rating:","Dine karakterer:"
"Your Review (submitted on %s):","<strong>Din bedømmelse</strong> (indsendt den %s):"
"Your review has been accepted for moderation","Din bedømmelse er blevet godkendt."
