equals or greater than,er lig med eller større end
is not,er ikke lig med
is not one of,is not one of
is,er lig med
If %s of these conditions are %s:,Hvis %s af nedenstående betingelser er %s:
TRUE,Sand
Description: %s,Beskrivelse: %s
contains,indeholder
to,til
equals or less than,lig med eller mindre end
greater than,større end
does not contain,indeholder ikke
Please choose an action to add...,Vælg handling...
Perform following actions,Udfør da følgende handlinger:
by,med
is one of,er en af
ALL,Alle
FALSE,Falsk
less than,mindre end
ANY,en
Expire at: %s,Udløber ved: %s
Name: %s,Navn: %s
Please choose a condition to add...,Vælg betingelse..
Start at: %s,Starter ved: %s
