"",""
"Actions","Handlinger"
"Add New Rule","Tilføj ny regel"
"Apply","Giv"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to","Apply to"
"By Fixed Amount","By Fixed Amount"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"By Percentage of the original price","By Percentage of the original price"
"Cart Attribute","Cart Attribute"
"Catalog","Katalog"
"Checkout Price Rule","Prisregel - indkøbskurv"
"Conditions","Betingelser"
"Conditions Combination","Betingelses-kombination"
"Conditions combination","Betingelseskombination"
"Coupon Code","Kuponkode"
"Coupon code","Kuponkode"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er førstegangskøber: %s"
"Customer registered: %s","Kunden oprettede konto: %s"
"Date Expire","Udløbsdato"
"Date Start","Startdato"
"Delete Rule","Slet regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Disabled","Inaktiv"
"Discount amount","Rabatbeløb"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel: %s"
"Enabled","Aktiv"
"Expire at: %s","Udløber ved: %s"
"Fixed amount discount","Rabat (fast beløb)"
"For matching items only","Gælder kun matchende varer"
"For shipment with matching items","Til levering af matchende produkter"
"Free ground shipping","Gratis landtransport"
"From Date","Startdato"
"General Information","Indhold"
"ID","ID"
"Maximum Qty Discount is Applied to","Maks. antal varer som rabatten gives til"
"NOT LOGGED IN","Ikke logget ind"
"Name","Navn"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nej"
"Payment Method","Betalingsform"
"Percent of product price discount","Rabat (procent af pris)"
"Price","Pris"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Produktattribut-kombination"
"Promotions","Prisregler"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Antal i kurv"
"Row total in cart","Antal varer i kurv"
"Rule Information","Regel - detaljer"
"Rule Name","Navn"
"Rule was successfully deleted","Regel er slettet"
"Rule was successfully saved","Regel er gemt"
"SKU","SKU"
"Save Rule","Gem regel"
"Shipping Country","Shipping Country"
"Shipping Method","Forsendelsesmetode"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Special price","Specialpris"
"Start at: %s","Starter ved: %s"
"Status","Status"
"Stop further rules processing","Kør ikke flere regler"
"Store Views","Store Views"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","Siden du forsøger at gemme eksisterer ikke længere"
"This rule no longer exists","Denne regel eksisterer ikke længere"
"To Date","Udløbsdato"
"To Fixed Amount","To Fixed Amount"
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"To Percentage of the original price","To Percentage of the original price"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Unable to find a page to delete","Systemet kunne ikke finde nogen sider"
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Opdater produktets %s %s: %s"
"Update the Product","Opdater produktet"
"Uses per coupon","Anvendelse pr. kupon"
"Uses per customer","Antal gange brugt pr. kunde"
"Yes","Ja"
