"# of Items (and above)","# of Items (and above)"
"# of Items vs. Destination","# of Items vs. Destination"
"Allow Shipping to multiple addresses","Allow Shipping to multiple addresses"
"City","By"
"Condition","Condition"
"Country","Land"
"Displayed Error Message","Displayed Error Message"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Kopier række #%s (Land ""%s"", Amt/område ""%s"", Postnr. ""%s"" og Værdi ""%s"")"
"Enabled","Aktiv"
"Export","Eksporter"
"Flat Rate","Flat Rate"
"Free Shipping","Free Shipping"
"Handling Fee","Handling Fee"
"Import","Importer"
"Invalid %s ""%s"" in the Row #%s","Ugyldig %s ""%s"" i rækken #%s"
"Invalid Country ""%s"" in the Row #%s","Ugyldigt land ""%s"" i række #%s"
"Invalid Region/State ""%s"" in the Row #%s","Ugyldig amt/område ""%s"" i rækken #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Ugyldig forsendelsespris""%s"" i række #%s"
"Invalid Table Rate code for type %s: %s","Ugydlig rate-kode for typen %s: %s"
"Invalid Table Rate code type: %s","Ugyldig rate-kode: %s"
"Invalid Table Rates File Format","Ugyldigt filformat"
"Method name","Method name"
"Minimum order amount","Minimum order amount"
"None","Ingen"
"Options","Ekstra valgmuligheder"
"Order Subtotal (and above)","Ordre-subtotal (og over)"
"Origin","Origin"
"Price","Pris"
"Price vs. Destination","Pris ift. destination"
"Region/State","Region/stat"
"Ship to Specific countries","Ship to Specific countries"
"Ship to applicable countries","Ship to applicable countries"
"Shipping","Levering"
"Shipping Methods","Leveringsformer"
"Show method if not applicable","Show method if not applicable"
"Sort order","Sorteringsr笫ef𬧥"
"Store Pickup","Afhentning i forretning"
"Table rates","Table rates"
"The shipping module is not available for selected delivery country","The shipping module is not available for selected delivery country"
"Title","Titel"
"Type","Type"
"Weight (and above)","Vægt (og over)"
"Weight vs. Destination","Vægt ift. destination"
"ZIP/Postal Code","Postnummer"
