"Active","Active"
"Add Banner","Add Banner"
"Any","Any"
"Applies to Any of the Specified Customer Segments","Applies to Any of the Specified Customer Segments"
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Banner Default Content for All Store Views","Banner Default Content for All Store Views"
"Banner Default Template","Banner Default Template"
"Banner Information","Banner Information"
"Banner Name","Banner Name"
"Banner Properties","Banner Properties"
"Banner Rotator","Banner Rotator"
"Banner was successfully deleted","Banner was successfully deleted"
"Banner was successfully saved.","Banner was successfully saved."
"Banners","Banners"
"Banners to Display","Banners to Display"
"Catalog Promotions Related","Catalog Promotions Related"
"Content","Content"
"Customer Segments","Customer Segments"
"Default Content","Default Content"
"Delete","Delete"
"Delete Banner","Delete Banner"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Do not rotate, display all at once","Do not rotate, display all at once"
"Edit Banner","Edit Banner"
"Error while deleting banner data. Please review log and try again.","Error while deleting banner data. Please review log and try again."
"Error while mass delete banners. Please review log and try again.","Error while mass delete banners. Please review log and try again."
"ID","ID"
"Log Entry #%s","Log Entry #%s"
"Manage Banners","Manage Banners"
"Name must not be empty.","Name must not be empty."
"New Banner","New Banner"
"No","No"
"No Default Content","No Default Content"
"One at the time, Random","One at the time, Random"
"One at the time, Series","One at the time, Series"
"One at the time, Shuffle","One at the time, Shuffle"
"Please select banner(s)","Please select banner(s)"
"Position","Position"
"Related Banners","Related Banners"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Related Promotions","Related Promotions"
"Related Shopping Cart Price Rules","Related Shopping Cart Price Rules"
"Rotation Mode","Rotation Mode"
"Save Banner","Save Banner"
"Save and Continue Edit","Save and Continue Edit"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Specified","Specified"
"Specified Banners","Specified Banners"
"Specify default content or at least for one store view.","Specify default content or at least for one store view."
"Store View Specific Content","Store View Specific Content"
"This Banner no longer exists","This Banner no longer exists"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Unable to find a Banner to delete","Unable to find a Banner to delete"
"Unable to save banner.","Unable to save banner."
"Use Default","Use Default"
"Yes","Yes"
