"(Allow)","(Allow)"
"(Config)","(Config)"
"(Deny)","(Deny)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this Feature restricts all Categories.","<strong style=""color:red"">Warning!</strong> By default this Feature restricts all Categories."
"Add to Cart","Add to Cart"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Allow Adding to Cart"
"Allow Browsing Category","Allow Browsing Category"
"Browsing Category","Browsing Category"
"Category Permissions","Category Permissions"
"Category Permissions Section","Category Permissions Section"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Deny","Deny"
"Disallow Catalog Search by","Disallow Catalog Search by"
"Display Product Prices","Display Product Prices"
"Enable","Enable"
"Landing Page","Landing Page"
"New Permission","New Permission"
"No","No"
"No, redirect to landing page","No, redirect to landing page"
"Permission with same scope","Permission with same scope"
"Permission with same scope already exists.","Permission with same scope already exists."
"Permissions do not depend on store views","Permissions do not depend on store views"
"Remove Permission","Remove Permission"
"Use parent","Use parent"
"Website","Website"
"Yes, to all","Yes, to all"
"Yes, to specified customer groups","Yes, to specified customer groups"
"You cannot add product ""%s"" to cart.","You cannot add product ""%s"" to cart."
"You have no permissions to access this category","You have no permissions to access this category"
"You have no permissions to access this product","You have no permissions to access this product"
