"%s","%s"
"%s; rev #%s","%s; rev #%s"
"-- Please Select --","-- Please Select --"
"Access Level","Access Level"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"Add Node...","Add Node..."
"Add Selected Page(s) to Tree","Add Selected Page(s) to Tree"
"Add To Tree","Add To Tree"
"All","All"
"All Pages","All Pages"
"All Products","All Products"
"Anchor Categories","Anchor Categories"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure?","Are you sure?"
"Assign to Store Views","Assign to Store Views"
"Author","Author"
"Author:","Author:"
"Block Reference","Block Reference"
"CMS","CMS"
"CMS Hierarchy","CMS Hierarchy"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"CMS Home Page","CMS Home Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page Hierarchy","CMS Page Hierarchy"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Page Trees","CMS Page Trees"
"CMS Page Versioning","CMS Page Versioning"
"CMS Pages","CMS Pages"
"CMS Pages (All)","CMS Pages (All)"
"CMS Versioning","CMS Versioning"
"CMS Widget Instances","CMS Widget Instances"
"Can not change version access level because its revision has been published.","Can not change version access level because its revision has been published."
"Cancel","Cancel"
"Cannot change version access level because it is last public version for its page.","Cannot change version access level because it is last public version for its page."
"Categories","Categories"
"Chapter","Chapter"
"Choose Revision","Choose Revision"
"Choose Store View","Choose Store View"
"Circle","Circle"
"Continue","Continue"
"Could not load specified revision.","Could not load specified revision."
"Could not load specified version.","Could not load specified version."
"Created","Created"
"Created:","Created:"
"Current Modification","Current Modification"
"Currently Published Revision","Currently Published Revision"
"Default","Default"
"Default Template","Default Template"
"Delete","Delete"
"Delete Revision","Delete Revision"
"Design Package/Theme","Design Package/Theme"
"Disabled by Default","Disabled by Default"
"Disc","Disc"
"Edit Page '%s' New Revision","Edit Page '%s' New Revision"
"Edit Page '%s' Revision #%s","Edit Page '%s' Revision #%s"
"Edit Page '%s' Version '%s'","Edit Page '%s' Version '%s'"
"Edit Revision","Edit Revision"
"Edit Version","Edit Version"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Enable Navigation Menu","Enable Navigation Menu"
"Enable Navigation Menu for Nested Pages","Enable Navigation Menu for Nested Pages"
"Enable Pagination","Enable Pagination"
"Enabled by Default","Enabled by Default"
"Error in saving hierarchy.","Error in saving hierarchy."
"Error while deleting revision. Please try again later.","Error while deleting revision. Please try again later."
"Error while deleting revisions. Please try again later.","Error while deleting revisions. Please try again later."
"Error while deleting version. Please try again later.","Error while deleting version. Please try again later."
"Error while deleting versions. Please try again later.","Error while deleting versions. Please try again later."
"First/Last","First/Last"
"Frame","Frame"
"Frame Skip","Frame Skip"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Hierarchy","Hierarchy"
"Hierarchy has been successfully saved.","Hierarchy has been successfully saved."
"How many Links to display at once","How many Links to display at once"
"If empty, will use the Node or Page Name","If empty, will use the Node or Page Name"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Invalid node data","Invalid node data"
"Label for version is required field.","Label for version is required field."
"Layout Updates","Layout Updates"
"Levels Down","Levels Down"
"Levels Up","Levels Up"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"List Style","List Style"
"List Type","List Type"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Manage Content","Manage Content"
"Manage Hierarchy","Manage Hierarchy"
"Manage Pages Hierarchy","Manage Pages Hierarchy"
"Manage Widget Instances","Manage Widget Instances"
"N/A","N/A"
"Navigation Menu Options","Navigation Menu Options"
"New Revision","New Revision"
"New Revision...","New Revision..."
"New Widget Instance","New Widget Instance"
"New version was successfully created.","New version was successfully created."
"Next","Next"
"Next/Previous","Next/Previous"
"No","No"
"No preview available","No preview available"
"Node","Node"
"Node Properties","Node Properties"
"Node with same URL Key already exists.","Node with same URL Key already exists."
"Not Anchor Categories","Not Anchor Categories"
"Number of Child Node Levels to Include","Number of Child Node Levels to Include"
"Number of Parent Node Levels to Include","Number of Parent Node Levels to Include"
"Numbers (1, 2, 3, ...)","Numbers (1, 2, 3, ...)"
"Ordered","Ordered"
"Owner","Owner"
"Page","Page"
"Page ID","Page ID"
"Page Properties","Page Properties"
"Page:","Page:"
"Pages Hierarchy","Pages Hierarchy"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Please Select Block Reference First","Please Select Block Reference First"
"Please select revision(s)","Please select revision(s)"
"Please select version(s)","Please select version(s)"
"Preview","Preview"
"Previous","Previous"
"Private","Private"
"Products","Products"
"Protected","Protected"
"Public","Public"
"Publish","Publish"
"Publish Revision","Publish Revision"
"Published","Published"
"Published Revision Unavailable","Published Revision Unavailable"
"Remove From Tree","Remove From Tree"
"Remove Layout Update","Remove Layout Update"
"Render Metadata in HTML Head","Render Metadata in HTML Head"
"Revision #","Revision #"
"Revision #%s","Revision #%s"
"Revision #%s could not be removed because it is published.","Revision #%s could not be removed because it is published."
"Revision Information","Revision Information"
"Revision was successfully deleted.","Revision was successfully deleted."
"Revision was successfully published.","Revision was successfully published."
"Revision was successfully saved.","Revision was successfully saved."
"Revisions Qty","Revisions Qty"
"Root","Root"
"Save","Save"
"Save Pages Hierarchy","Save Pages Hierarchy"
"Save Revision","Save Revision"
"Save and Continue Edit","Save and Continue Edit"
"Save and Publish","Save and Publish"
"Save as New Version","Save as New Version"
"Save in New Version...","Save in New Version..."
"Section","Section"
"Select Page or Node...","Select Page or Node..."
"Settings","Settings"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Specify New Version Name (required)","Specify New Version Name (required)"
"Square","Square"
"Template","Template"
"There are unsaved node data. Are you sure you want to proceed?","There are unsaved node data. Are you sure you want to proceed?"
"This Page Belongs To","This Page Belongs To"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"Title","Title"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Tree Viewed","Tree Viewed"
"Type","Type"
"URL Key","URL Key"
"Unable to find a revision to delete.","Unable to find a revision to delete."
"Unable to find a version to delete.","Unable to find a version to delete."
"Under Version Control","Under Version Control"
"Unordered","Unordered"
"Update","Update"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Use Parent","Use Parent"
"Version ""%s"" could not be removed because it is last public version for its page.","Version ""%s"" could not be removed because it is last public version for its page."
"Version ""%s"" could not be removed because its revision has been published.","Version ""%s"" could not be removed because its revision has been published."
"Version #","Version #"
"Version Control","Version Control"
"Version Information","Version Information"
"Version Label","Version Label"
"Version Revisions","Version Revisions"
"Version was successfully deleted.","Version was successfully deleted."
"Version was successfully saved.","Version was successfully saved."
"Version:","Version:"
"Versions","Versions"
"Website Root","Website Root"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget instance has been successfully deleted.","Widget instance has been successfully deleted."
"Widget instance has been successfully saved.","Widget instance has been successfully saved."
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Wrong wigdet instance specified."
"Yes","Yes"
"You should specify valid name","You should specify valid name"
"[No Owner]","[No Owner]"
